id,question,choices,choice_keys,answer,type,response
Q1,How important is family in your life?,"['Very important', 'Not very important', 'Not at all important', 'Rather important']","['1', '3', '4', '2']","1. Very important
3. Not very important
4. Not at all important
2. Rather important",Opinion-Dependent,"{'1': '42.12%', '2': '31.56%', '3': '17.31%', '4': '9.01%'}"
Q2,How important are friends in your life?,"['Not at all important', 'Very important', 'Not very important', 'Rather important']","['4', '1', '3', '2']","4. Not at all important
1. Very important
3. Not very important
2. Rather important",Opinion-Dependent,"{'4': '10.29%', '1': '32.61%', '3': '29.19%', '2': '27.91%'}"
Q3,How important is leisure time in your life?,"['Not very important', 'Not at all important', 'Very important', 'Rather important']","['3', '4', '1', '2']","3. Not very important
4. Not at all important
1. Very important
2. Rather important",Opinion-Dependent,"{'3': '23.1%', '4': '17.6%', '1': '35.2%', '2': '24.1%'}"
Q4,How important is politics in your life?,"['Not very important', 'Not at all important', 'Very important', 'Rather important']","['3', '4', '1', '2']","3. Not very important
4. Not at all important
1. Very important
2. Rather important",Opinion-Dependent,"{'3': '34.76%', '4': '41.24%', '1': '17.69%', '2': '6.31%'}"
Q5,How important is work in your life?,"['Rather important', 'Not very important', 'Not at all important', 'Very important']","['2', '3', '4', '1']","2. Rather important
3. Not very important
4. Not at all important
1. Very important",Opinion-Dependent,"{'1': '27.34%', '2': '34.62%', '3': '21.59%', '4': '16.45%'}"
Q6,How important is religion in your life?,"['Not very important', 'Very important', 'Not at all important', 'Rather important']","['3', '1', '4', '2']","3. Not very important
1. Very important
4. Not at all important
2. Rather important",Opinion-Dependent,"{'1': '23.45%', '2': '32.14%', '3': '27.31%', '4': '17.10%'}"
Q18,Would you mention 'Drug addicts' as a group you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '67.32%', '2': '32.68%'}"
Q19,Would you mention People of a different race as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'2': '65.42%', '1': '34.58%'}"
Q20,Would you mention People who have AIDS as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'2': '67.42%', '1': '32.58%'}"
Q21,Would you mention Immigrants/foreign workers as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'2': '67.43%', '1': '32.57%'}"
Q22,Would you mention Homosexuals as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'2': '67.42%', '1': '32.58%'}"
Q23,Would you mention People of a different religion as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'2': '67.42%', '1': '32.58%'}"
Q24,Would you mention Heavy drinkers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '67.32%', '2': '32.68%'}"
Q25,Would you mention Unmarried couples living together as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '62.12%', '2': '37.88%'}"
Q26,Would you mention People who speak a different language as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '47.23%', '2': '52.77%'}"
