id,question,choices,choice_keys,answer,type,response
Q1,How important is family in your life?,"['Very important', 'Not very important', 'Not at all important', 'Rather important']","['1', '3', '4', '2']","1. Very important
3. Not very important
4. Not at all important
2. Rather important",Opinion-Dependent,"{'1': '65.20%', '2': '25.30%', '3': '7.10%', '4': '2.40%'}"
Q2,How important are friends in your life?,"['Not at all important', 'Very important', 'Not very important', 'Rather important']","['4', '1', '3', '2']","4. Not at all important
1. Very important
3. Not very important
2. Rather important",Opinion-Dependent,"{'1': '45.23%', '2': '32.15%', '3': '15.67%', '4': '6.95%'}"
Q3,How important is leisure time in your life?,"['Not very important', 'Not at all important', 'Very important', 'Rather important']","['3', '4', '1', '2']","3. Not very important
4. Not at all important
1. Very important
2. Rather important",Opinion-Dependent,"{'1': '45.23%', '2': '30.12%', '3': '15.67%', '4': '8.98%'}"
Q4,How important is politics in your life?,"['Not very important', 'Not at all important', 'Very important', 'Rather important']","['3', '4', '1', '2']","3. Not very important
4. Not at all important
1. Very important
2. Rather important",Opinion-Dependent,"{'1': '25.45%', '2': '30.12%', '3': '28.33%', '4': '16.10%'}"
Q5,How important is work in your life?,"['Rather important', 'Not very important', 'Not at all important', 'Very important']","['2', '3', '4', '1']","2. Rather important
3. Not very important
4. Not at all important
1. Very important",Opinion-Dependent,"{'1': '45.23%', '2': '32.15%', '3': '15.67%', '4': '6.95%'}"
Q6,How important is religion in your life?,"['Not very important', 'Very important', 'Not at all important', 'Rather important']","['3', '1', '4', '2']","3. Not very important
1. Very important
4. Not at all important
2. Rather important",Opinion-Dependent,"{'1': '35.20%', '2': '28.50%', '3': '20.30%', '4': '16.00%'}"
Q18,Would you mention 'Drug addicts' as a group you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '35.72%', '2': '64.28%'}"
Q19,Would you mention People of a different race as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '15.30%', '2': '84.70%'}"
Q20,Would you mention People who have AIDS as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '15.30%', '2': '84.70%'}"
Q21,Would you mention Immigrants/foreign workers as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '35.72%', '2': '64.28%'}"
Q22,Would you mention Homosexuals as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '25.00%', '2': '75.00%'}"
Q23,Would you mention People of a different religion as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '25.73%', '2': '74.27%'}"
Q24,Would you mention Heavy drinkers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '35.72%', '2': '64.28%'}"
Q25,Would you mention Unmarried couples living together as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '35.72%', '2': '64.28%'}"
Q26,Would you mention People who speak a different language as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '15.37%', '2': '84.63%'}"
Q27,Do you agree that one of your main goals in life has been to make your parents proud?,"['Strongly disagree', 'Agree', 'Disagree', 'Strongly agree']","['4', '2', '3', '1']","4. Strongly disagree
2. Agree
3. Disagree
1. Strongly agree",Opinion-Dependent,"{'1': '35.20%', '2': '30.50%', '3': '20.30%', '4': '14.00%'}"
Q28,"Do you agree that when a mother works for pay, the children suffer?","['Agree', 'Strongly agree', 'Disagree', 'Strongly disagree']","['2', '1', '3', '4']","2. Agree
1. Strongly agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '15.20%', '2': '25.30%', '3': '35.40%', '4': '24.10%'}"
Q29,"Do you agree that, on the whole, men make better political leaders than women do?","['Disagree', 'Strongly disagree', 'Strongly agree', 'Agree']","['3', '4', '1', '2']","3. Disagree
4. Strongly disagree
1. Strongly agree
2. Agree",Opinion-Dependent,"{'1': '10.25%', '2': '15.75%', '3': '35.50%', '4': '38.50%'}"
Q30,Do you agree that a university education is more important for a boy than for a girl?,"['Strongly disagree', 'Disagree', 'Strongly agree', 'Agree']","['4', '3', '1', '2']","4. Strongly disagree
3. Disagree
1. Strongly agree
2. Agree",Opinion-Dependent,"{'1': '10.25%', '2': '15.75%', '3': '35.50%', '4': '38.50%'}"
Q31,"Do you agree that, on the whole, men make better business executives than women do?","['Strongly agree', 'Strongly disagree', 'Agree', 'Disagree']","['1', '4', '2', '3']","1. Strongly agree
4. Strongly disagree
2. Agree
3. Disagree",Opinion-Dependent,"{'1': '10.25%', '2': '15.75%', '3': '35.50%', '4': '38.50%'}"
Q32,Do you agree that being a housewife is just as fulfilling as working for pay?,"['Strongly agree', 'Agree', 'Strongly disagree', 'Disagree']","['1', '2', '4', '3']","1. Strongly agree
2. Agree
4. Strongly disagree
3. Disagree",Opinion-Dependent,"{'1': '25.15%', '2': '35.20%', '3': '20.45%', '4': '19.20%'}"
Q33,"Do you agree that when jobs are scarce, men should have more right to a job than women?","['Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly', 'Disagree strongly']","['4', '3', '2', '1', '5']","4. Disagree
3. Neither agree nor disagree
2. Agree
1. Agree strongly
5. Disagree strongly",Opinion-Dependent,"{'1': '5.12%', '2': '10.34%', '3': '15.67%', '4': '35.89%', '5': '32.98%'}"
