id,question,choices,choice_keys,answer,type,response
Q1,How important is family in your life?,"['Very important', 'Not very important', 'Not at all important', 'Rather important']","['1', '3', '4', '2']","1. Very important
3. Not very important
4. Not at all important
2. Rather important",Opinion-Dependent,"{'1': '50.00%', '2': '40.00%', '3': '8.00%', '4': '2.00%'}"
Q2,How important are friends in your life?,"['Not at all important', 'Very important', 'Not very important', 'Rather important']","['4', '1', '3', '2']","4. Not at all important
1. Very important
3. Not very important
2. Rather important",Opinion-Dependent,"{'1': '50.00%', '2': '35.00%', '3': '10.00%', '4': '5.00%'}"
Q3,How important is leisure time in your life?,"['Not very important', 'Not at all important', 'Very important', 'Rather important']","['3', '4', '1', '2']","3. Not very important
4. Not at all important
1. Very important
2. Rather important",Opinion-Dependent,"{'1': '45.00%', '2': '40.00%', '3': '10.00%', '4': '5.00%'}"
Q4,How important is politics in your life?,"['Not very important', 'Not at all important', 'Very important', 'Rather important']","['3', '4', '1', '2']","3. Not very important
4. Not at all important
1. Very important
2. Rather important",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q5,How important is work in your life?,"['Rather important', 'Not very important', 'Not at all important', 'Very important']","['2', '3', '4', '1']","2. Rather important
3. Not very important
4. Not at all important
1. Very important",Opinion-Dependent,"{'1': '50.00%', '2': '30.00%', '3': '15.00%', '4': '5.00%'}"
Q6,How important is religion in your life?,"['Not very important', 'Very important', 'Not at all important', 'Rather important']","['3', '1', '4', '2']","3. Not very important
1. Very important
4. Not at all important
2. Rather important",Opinion-Dependent,"{'1': '30.00%', '2': '35.00%', '3': '20.00%', '4': '15.00%'}"
Q18,Would you mention 'Drug addicts' as a group you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '35.67%', '2': '64.33%'}"
Q19,Would you mention People of a different race as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q20,Would you mention People who have AIDS as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '15.32%', '2': '84.68%'}"
Q21,Would you mention Immigrants/foreign workers as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q22,Would you mention Homosexuals as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q23,Would you mention People of a different religion as people you would not like to have as neighbors?,"['Not mentioned', 'Mentioned']","['2', '1']","2. Not mentioned
1. Mentioned",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q24,Would you mention Heavy drinkers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '35.67%', '2': '64.33%'}"
Q25,Would you mention Unmarried couples living together as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '30.00%', '2': '70.00%'}"
Q26,Would you mention People who speak a different language as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '30.00%', '2': '70.00%'}"
Q27,Do you agree that one of your main goals in life has been to make your parents proud?,"['Strongly disagree', 'Agree', 'Disagree', 'Strongly agree']","['4', '2', '3', '1']","4. Strongly disagree
2. Agree
3. Disagree
1. Strongly agree",Opinion-Dependent,"{'1': '40.00%', '2': '35.00%', '3': '15.00%', '4': '10.00%'}"
Q28,"Do you agree that when a mother works for pay, the children suffer?","['Agree', 'Strongly agree', 'Disagree', 'Strongly disagree']","['2', '1', '3', '4']","2. Agree
1. Strongly agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '10.00%', '2': '20.00%', '3': '40.00%', '4': '30.00%'}"
Q29,"Do you agree that, on the whole, men make better political leaders than women do?","['Disagree', 'Strongly disagree', 'Strongly agree', 'Agree']","['3', '4', '1', '2']","3. Disagree
4. Strongly disagree
1. Strongly agree
2. Agree",Opinion-Dependent,"{'1': '10.00%', '2': '20.00%', '3': '35.00%', '4': '35.00%'}"
Q30,Do you agree that a university education is more important for a boy than for a girl?,"['Strongly disagree', 'Disagree', 'Strongly agree', 'Agree']","['4', '3', '1', '2']","4. Strongly disagree
3. Disagree
1. Strongly agree
2. Agree",Opinion-Dependent,"{'1': '5.00%', '2': '10.00%', '3': '35.00%', '4': '50.00%'}"
Q31,"Do you agree that, on the whole, men make better business executives than women do?","['Strongly agree', 'Strongly disagree', 'Agree', 'Disagree']","['1', '4', '2', '3']","1. Strongly agree
4. Strongly disagree
2. Agree
3. Disagree",Opinion-Dependent,"{'1': '10.00%', '4': '40.00%', '2': '20.00%', '3': '30.00%'}"
Q32,Do you agree that being a housewife is just as fulfilling as working for pay?,"['Strongly agree', 'Agree', 'Strongly disagree', 'Disagree']","['1', '2', '4', '3']","1. Strongly agree
2. Agree
4. Strongly disagree
3. Disagree",Opinion-Dependent,"{'1': '20.00%', '2': '30.00%', '3': '25.00%', '4': '25.00%'}"
Q33,"Do you agree that when jobs are scarce, men should have more right to a job than women?","['Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly', 'Disagree strongly']","['4', '3', '2', '1', '5']","4. Disagree
3. Neither agree nor disagree
2. Agree
1. Agree strongly
5. Disagree strongly",Opinion-Dependent,"{'1': '5.00%', '2': '10.00%', '3': '15.00%', '4': '30.00%', '5': '40.00%'}"
Q34,"Do you agree that when jobs are scarce, employers should give priority to people of this country over immigrants?","['Neither agree nor disagree', 'Disagree strongly', 'Agree', 'Disagree', 'Agree strongly']","['3', '5', '2', '4', '1']","3. Neither agree nor disagree
5. Disagree strongly
2. Agree
4. Disagree
1. Agree strongly",Opinion-Dependent,"{'1': '30.00%', '2': '25.00%', '3': '15.00%', '4': '20.00%', '5': '10.00%'}"
Q35,"Do you agree that if a woman earns more money than her husband, it's almost certain to cause problems?","['Agree strongly', 'Disagree', 'Agree', 'Disagree strongly', 'Neither agree nor disagree']","['1', '4', '2', '5', '3']","1. Agree strongly
4. Disagree
2. Agree
5. Disagree strongly
3. Neither agree nor disagree",Opinion-Dependent,"{'1': '10.00%', '2': '20.00%', '3': '30.00%', '4': '25.00%', '5': '15.00%'}"
Q36,Do you agree that homosexual couples are as good parents as other couples?,"['Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly', 'Disagree strongly']","['4', '3', '2', '1', '5']","4. Disagree
3. Neither agree nor disagree
2. Agree
1. Agree strongly
5. Disagree strongly",Opinion-Dependent,"{'1': '30.00%', '2': '40.00%', '3': '15.00%', '4': '10.00%', '5': '5.00%'}"
Q37,Do you agree that it is a duty towards society to have children?,"['Agree', 'Disagree', 'Agree strongly', 'Neither agree nor disagree', 'Disagree strongly']","['2', '4', '1', '3', '5']","2. Agree
4. Disagree
1. Agree strongly
3. Neither agree nor disagree
5. Disagree strongly",Opinion-Dependent,"{'2': '20%', '4': '30%', '1': '10%', '3': '25%', '5': '15%'}"
Q38,Do you agree that adult children have the duty to provide long-term care for their parents?,"['Agree strongly', 'Disagree strongly', 'Agree', 'Disagree', 'Neither agree nor disagree']","['1', '5', '2', '4', '3']","1. Agree strongly
5. Disagree strongly
2. Agree
4. Disagree
3. Neither agree nor disagree",Opinion-Dependent,"{'1': '25.00%', '5': '15.00%', '2': '30.00%', '4': '10.00%', '3': '20.00%'}"
Q39,Do you agree that people who don’t work turn lazy?,"['Agree', 'Agree strongly', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['2', '1', '3', '4', '5']","2. Agree
1. Agree strongly
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '15.00%', '2': '25.00%', '3': '20.00%', '4': '25.00%', '5': '15.00%'}"
Q40,Do you agree that work is a duty towards society?,"['Agree strongly', 'Agree', 'Disagree', 'Neither agree nor disagree', 'Disagree strongly']","['1', '2', '4', '3', '5']","1. Agree strongly
2. Agree
4. Disagree
3. Neither agree nor disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '20%', '2': '30%', '3': '25%', '4': '15%', '5': '10%'}"
Q41,"Do you agree that work should always come first, even if it means less spare time?","['Disagree strongly', 'Disagree', 'Agree', 'Agree strongly', 'Neither agree nor disagree']","['5', '4', '2', '1', '3']","5. Disagree strongly
4. Disagree
2. Agree
1. Agree strongly
3. Neither agree nor disagree",Opinion-Dependent,"{'5': '25.00%', '4': '35.00%', '2': '20.00%', '1': '10.00%', '3': '10.00%'}"
Q42,Which of the following statements best describes your own opinion about the society we live in?,"['The entire way our society is organized must be radically changed by revolutionary action', 'Our society must be gradually improved by reforms', 'Our present society must be valiantly defended against all subversive forces']","['1', '2', '3']","1. The entire way our society is organized must be radically changed by revolutionary action
2. Our society must be gradually improved by reforms
3. Our present society must be valiantly defended against all subversive forces",Opinion-Dependent,"{'1': '15.00%', '2': '70.00%', '3': '15.00%'}"
Q43,"If less importance were placed on work in our lives, would you think it would be a good thing, a bad thing, or don't you mind?","[""Don't mind"", 'Bad', 'Good']","['2', '3', '1']","2. Don't mind
3. Bad
1. Good",Opinion-Dependent,"{'1': '35.00%', '2': '40.00%', '3': '25.00%'}"
Q44,"If there were more emphasis on the development of technology, would you think it would be a good thing, a bad thing, or don't you mind?","['Good', ""Don't mind"", 'Bad']","['1', '2', '3']","1. Good
2. Don't mind
3. Bad",Opinion-Dependent,"{'1': '60%', '2': '30%', '3': '10%'}"
Q45,"If there were greater respect for authority, would you think it would be a good thing, a bad thing, or don't you mind?","['Bad', ""Don't mind"", 'Good']","['3', '2', '1']","3. Bad
2. Don't mind
1. Good",Opinion-Dependent,"{'1': '35.00%', '2': '45.00%', '3': '20.00%'}"
Q46,"Taking all things together, would you say you are…?","['Not at all happy', 'Not very happy', 'Very happy', 'Rather happy']","['4', '3', '1', '2']","4. Not at all happy
3. Not very happy
1. Very happy
2. Rather happy",Opinion-Dependent,"{'1': '35.00%', '2': '45.00%', '3': '15.00%', '4': '5.00%'}"
Q48,"How much freedom of choice and control do you feel you have over the way your life turns out, where 1 means 'no choice at all' and 10 means 'a great deal of choice'?","['7', '3', '9', '8', '4', '1', '5', '2', '6', '10']","['7', '3', '9', '8', '4', '1', '5', '2', '6', '10']","7. 7
3. 3
9. 9
8. 8
4. 4
1. 1
5. 5
2. 2
6. 6
10. 10",Opinion-Dependent,"{'1': '5.00%', '2': '5.00%', '3': '10.00%', '4': '10.00%', '5': '15.00%', '6': '15.00%', '7': '10.00%', '8': '10.00%', '9': '10.00%', '10': '10.00%'}"
Q57,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?","['Need to be very careful', 'Most people can be trusted']","['2', '1']","2. Need to be very careful
1. Most people can be trusted",Opinion-Dependent,"{'1': '40.00%', '2': '60.00%'}"
