id,question,choices,choice_keys,answer,type,response
Q1,¿Qué importancia tiene la familia en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '70.25%', '2': '25.50%', '3': '3.00%', '4': '1.25%'}"
Q2,¿Qué importancia tienen los amigos en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '50.25%', '2': '40.35%', '3': '7.20%', '4': '2.20%'}"
Q3,¿Qué importancia tiene el tiempo libre en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '45.25%', '2': '40.50%', '3': '10.75%', '4': '3.50%'}"
Q4,¿Qué importancia tiene la política en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '15.25%', '2': '45.35%', '3': '30.10%', '4': '9.30%'}"
Q5,¿Qué importancia tiene el trabajo en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '45.25%', '2': '40.50%', '3': '10.75%', '4': '3.50%'}"
Q6,¿Qué importancia tiene la religión en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '30.00%', '2': '40.00%', '3': '20.00%', '4': '10.00%'}"
Q18,¿Preferiría usted NO tener como vecinos a drogadictos?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '89.45%', '2': '10.55%'}"
Q19,¿Preferiría usted NO tener como vecinos a gente de otra raza?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '15.25%', '2': '84.75%'}"
Q20,¿Preferiría usted NO tener como vecinos a personas que tengan SIDA?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '45.67%', '2': '54.33%'}"
Q21,¿Preferiría usted NO tener como vecinos a trabajadores inmigrantes/extranjeros?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '30.45%', '2': '69.55%'}"
Q22,¿Preferiría usted NO tener como vecinos a homosexuales?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '30.45%', '2': '69.55%'}"
Q23,¿Preferiría usted NO tener como vecinos a personas de otra religión?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '15.25%', '2': '84.75%'}"
Q24,¿Preferiría usted NO tener como vecinos a gente adicta a la bebida alcohólica?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '78.45%', '2': '21.55%'}"
Q25,¿Preferiría usted NO tener como vecinos a parejas no casadas que viven juntos?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '38.45%', '2': '61.55%'}"
Q26,¿Preferiría usted NO tener como vecinos a personas que hablan un idioma diferente (al suyo)?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '30.45%', '2': '69.55%'}"
Q27,"¿Está usted muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con la afirmación: ""Uno de mis principales objetivos en la vida ha sido hacer que mis padres se sientan orgullosos de mí""?","['Muy de acuerdo', 'De acuerdo', 'En desacuerdo', 'Muy en desacuerdo']","['1', '2', '3', '4']","1. Muy de acuerdo
2. De acuerdo
3. En desacuerdo
4. Muy en desacuerdo",Opinion-Dependent,"{'1': '45.25%', '2': '40.50%', '3': '10.15%', '4': '4.10%'}"
Q28,"¿Está usted muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con la afirmación: ""Cuando una madre tiene un trabajo remunerado, los hijos sufren""?","['Muy de acuerdo', 'De acuerdo', 'En desacuerdo', 'Muy en desacuerdo']","['1', '2', '3', '4']","1. Muy de acuerdo
2. De acuerdo
3. En desacuerdo
4. Muy en desacuerdo",Opinion-Dependent,"{'1': '10.50%', '2': '25.66%', '3': '44.33%', '4': '19.51%'}"
Q29,"¿Está usted muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con la afirmación: ""En general, los hombres son mejores líderes políticos que las mujeres""?","['Muy de acuerdo', 'De acuerdo', 'En desacuerdo', 'Muy en desacuerdo']","['1', '2', '3', '4']","1. Muy de acuerdo
2. De acuerdo
3. En desacuerdo
4. Muy en desacuerdo",Opinion-Dependent,"{'1': '5.00%', '2': '15.00%', '3': '45.00%', '4': '35.00%'}"
Q30,"¿Está usted muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con la afirmación: ""Una educación universitaria es más importante para un muchacho que para una muchacha""?","['Muy de acuerdo', 'De acuerdo', 'En desacuerdo', 'Muy en desacuerdo']","['1', '2', '3', '4']","1. Muy de acuerdo
2. De acuerdo
3. En desacuerdo
4. Muy en desacuerdo",Opinion-Dependent,"{'1': '5.00%', '2': '15.00%', '3': '40.00%', '4': '40.00%'}"
Q31,"¿Está usted muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con la afirmación: ""En general, los hombres son mejores ejecutivos de empresas que las mujeres""?","['Muy de acuerdo', 'De acuerdo', 'En desacuerdo', 'Muy en desacuerdo']","['1', '2', '3', '4']","1. Muy de acuerdo
2. De acuerdo
3. En desacuerdo
4. Muy en desacuerdo",Opinion-Dependent,"{'1': '5.00%', '2': '15.00%', '3': '45.00%', '4': '35.00%'}"
Q32,"¿Está usted muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con la afirmación: ""Ser un ama de casa es casi tan gratificante como tener un trabajo remunerado""?","['Muy de acuerdo', 'De acuerdo', 'En desacuerdo', 'Muy en desacuerdo']","['1', '2', '3', '4']","1. Muy de acuerdo
2. De acuerdo
3. En desacuerdo
4. Muy en desacuerdo",Opinion-Dependent,"{'1': '15.25%', '2': '45.35%', '3': '25.20%', '4': '14.20%'}"
Q33,"¿Está usted muy de acuerdo, de acuerdo, ni de acuerdo ni en desacuerdo, en desacuerdo o muy en desacuerdo con la afirmación: ""Cuando los puestos de trabajo escasean, los hombres deberían tener más derecho que las mujeres a un puesto de trabajo""?","['Muy de acuerdo', 'De acuerdo', 'Ni de acuerdo ni en desacuerdo', 'En desacuerdo', 'Muy en desacuerdo']","['1', '2', '3', '4', '5']","1. Muy de acuerdo
2. De acuerdo
3. Ni de acuerdo ni en desacuerdo
4. En desacuerdo
5. Muy en desacuerdo",Opinion-Dependent,"{'1': '5.00%', '2': '10.00%', '3': '15.00%', '4': '30.00%', '5': '40.00%'}"
