id,question,choices,choice_keys,answer,type,response
Q1,How important is family in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '43.2%', '2': '37.6%', '3': '12.4%', '4': '6.8%'}"
Q2,How important are friends in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '23.45%', '2': '46.78%', '3': '15.32%', '4': '14.45%'}"
Q3,How important is leisure time in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '23.69%', '2': '46.15%', '3': '21.29%', '4': '7.87%'}"
Q4,How important is politics in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '15.43%', '2': '27.38%', '3': '31.91%', '4': '25.28%'}"
Q5,How important is work in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '23.45%', '2': '46.78%', '3': '21.27%', '4': '7.5%'}"
Q6,How important is religion in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '15.43%', '2': '27.89%', '3': '31.93%', '4': '24.75%'}"
Q18,Would you mention 'Drug addicts' as a group you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '76.5%', '2': '23.5%'}"
Q19,Would you mention People of a different race as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '10%', '2': '90%'}"
Q20,Would you mention People who have AIDS as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q21,Would you mention Immigrants/foreign workers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q22,Would you mention Homosexuals as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q23,Would you mention People of a different religion as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q24,Would you mention Heavy drinkers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '76.5%', '2': '23.5%'}"
Q25,Would you mention Unmarried couples living together as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '70.2%', '2': '29.8%'}"
Q26,Would you mention People who speak a different language as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q27,Do you agree that one of your main goals in life has been to make your parents proud?,"['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']","['1', '2', '3', '4']","1. Strongly agree
2. Agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '23.45%', '2': '46.78%', '3': '15.21%', '4': '14.56%'}"
Q28,"Do you agree that when a mother works for pay, the children suffer?","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']","['1', '2', '3', '4']","1. Strongly agree
2. Agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '10.2%', '2': '15.7%', '3': '37.9%', '4': '36.2%'}"
