id,question,choices,choice_keys,answer,type,response
Q1,How important is family in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '70.25%', '2': '27.50%', '3': '1.75%', '4': '0.50%'}"
Q2,How important are friends in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '45.67%', '2': '48.21%', '3': '5.32%', '4': '0.80%'}"
Q3,How important is leisure time in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '35.67%', '2': '52.33%', '3': '10.50%', '4': '1.50%'}"
Q4,How important is politics in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '15.23%', '2': '45.67%', '3': '30.10%', '4': '9.00%'}"
Q5,How important is work in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '45.67%', '2': '48.21%', '3': '5.32%', '4': '0.80%'}"
Q6,How important is religion in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '30.25%', '2': '45.35%', '3': '20.10%', '4': '4.30%'}"
Q18,Would you mention 'Drug addicts' as a group you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '35.67%', '2': '64.33%'}"
Q19,Would you mention People of a different race as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q20,Would you mention People who have AIDS as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q21,Would you mention Immigrants/foreign workers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q22,Would you mention Homosexuals as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '21.45%', '2': '78.55%'}"
Q23,Would you mention People of a different religion as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '30.45%', '2': '69.55%'}"
Q24,Would you mention Heavy drinkers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '68.25%', '2': '31.75%'}"
Q25,Would you mention Unmarried couples living together as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '18.45%', '2': '81.55%'}"
Q26,Would you mention People who speak a different language as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '30.45%', '2': '69.55%'}"
Q27,Do you agree that one of your main goals in life has been to make your parents proud?,"['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']","['1', '2', '3', '4']","1. Strongly agree
2. Agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '35.67%', '2': '50.23%', '3': '12.10%', '4': '2.00%'}"
Q28,"Do you agree that when a mother works for pay, the children suffer?","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']","['1', '2', '3', '4']","1. Strongly agree
2. Agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '10.25%', '2': '35.70%', '3': '45.05%', '4': '9.00%'}"
Q29,"Do you agree that, on the whole, men make better political leaders than women do?","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']","['1', '2', '3', '4']","1. Strongly agree
2. Agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '5.23%', '2': '15.67%', '3': '60.10%', '4': '19.00%'}"
Q30,Do you agree that a university education is more important for a boy than for a girl?,"['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']","['1', '2', '3', '4']","1. Strongly agree
2. Agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '2.45%', '2': '7.35%', '3': '45.10%', '4': '45.10%'}"
Q31,"Do you agree that, on the whole, men make better business executives than women do?","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']","['1', '2', '3', '4']","1. Strongly agree
2. Agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '5.23%', '2': '15.67%', '3': '60.10%', '4': '19.00%'}"
Q32,Do you agree that being a housewife is just as fulfilling as working for pay?,"['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']","['1', '2', '3', '4']","1. Strongly agree
2. Agree
3. Disagree
4. Strongly disagree",Opinion-Dependent,"{'1': '15.23%', '2': '45.67%', '3': '30.10%', '4': '9.00%'}"
Q33,"Do you agree that when jobs are scarce, men should have more right to a job than women?","['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '3.21%', '2': '7.45%', '3': '15.34%', '4': '35.67%', '5': '38.33%'}"
Q34,"Do you agree that when jobs are scarce, employers should give priority to people of this country over immigrants?","['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '45.67%', '2': '35.21%', '3': '12.34%', '4': '5.43%', '5': '1.35%'}"
Q35,"Do you agree that if a woman earns more money than her husband, it's almost certain to cause problems?","['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '5.23%', '2': '15.67%', '3': '25.10%', '4': '35.00%', '5': '19.00%'}"
Q36,Do you agree that homosexual couples are as good parents as other couples?,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '15.23%', '2': '45.67%', '3': '25.10%', '4': '10.00%', '5': '4.00%'}"
Q37,Do you agree that it is a duty towards society to have children?,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '10.25%', '2': '35.70%', '3': '25.05%', '4': '20.50%', '5': '8.50%'}"
Q38,Do you agree that adult children have the duty to provide long-term care for their parents?,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '30.25%', '2': '50.35%', '3': '15.20%', '4': '3.10%', '5': '1.10%'}"
Q39,Do you agree that people who don’t work turn lazy?,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '10.25%', '2': '35.70%', '3': '25.05%', '4': '20.50%', '5': '8.50%'}"
Q40,Do you agree that work is a duty towards society?,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '15.23%', '2': '45.67%', '3': '25.10%', '4': '10.50%', '5': '3.50%'}"
Q41,"Do you agree that work should always come first, even if it means less spare time?","['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']","['1', '2', '3', '4', '5']","1. Agree strongly
2. Agree
3. Neither agree nor disagree
4. Disagree
5. Disagree strongly",Opinion-Dependent,"{'1': '10.25%', '2': '35.70%', '3': '25.05%', '4': '20.50%', '5': '8.50%'}"
Q42,Which of the following statements best describes your own opinion about the society we live in?,"['The entire way our society is organized must be radically changed by revolutionary action', 'Our society must be gradually improved by reforms', 'Our present society must be valiantly defended against all subversive forces']","['1', '2', '3']","1. The entire way our society is organized must be radically changed by revolutionary action
2. Our society must be gradually improved by reforms
3. Our present society must be valiantly defended against all subversive forces",Opinion-Dependent,"{'1': '5.23%', '2': '80.45%', '3': '14.32%'}"
