id,question,choices,choice_keys,answer,type,response
Q1,How important is family in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '63.21%', '2': '29.15%', '3': '5.42%', '4': '2.22%'}"
Q2,How important are friends in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '43.21%', '2': '41.85%', '3': '11.49%', '4': '3.45%'}"
Q3,How important is leisure time in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '43.21%', '2': '41.85%', '3': '11.19%', '4': '3.75%'}"
Q4,How important is politics in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '14.51%', '2': '34.82%', '3': '31.49%', '4': '19.18%'}"
Q5,How important is work in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '43.21%', '2': '41.19%', '3': '12.15%', '4': '3.45%'}"
Q6,How important is religion in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '23.41%', '2': '41.19%', '3': '24.51%', '4': '10.89%'}"
Q18,Would you mention Drug addicts as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '83.21%', '2': '16.79%'}"
Q19,Would you mention People of a different race as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '14.51%', '2': '85.49%'}"
Q20,Would you mention People who have AIDS as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '43.21%', '2': '56.79%'}"
Q21,Would you mention Immigrants/foreign workers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '23.41%', '2': '76.59%'}"
