id,question,choices,choice_keys,answer,type,response
Q1,¿Qué importancia tiene la familia en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '42.38%', '2': '37.62%', '3': '11.36%', '4': '8.64%'}"
Q2,¿Qué importancia tienen los amigos en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '35.21%', '2': '42.18%', '3': '14.29%', '4': '7.32%'}"
Q3,¿Qué importancia tiene el tiempo libre en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '28.3%', '2': '36.4%', '3': '21.3%', '4': '14.1%'}"
Q4,¿Qué importancia tiene la política en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '21.43%', '2': '31.78%', '3': '28.57%', '4': '18.22%'}"
Q5,¿Qué importancia tiene el trabajo en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '28.3%', '2': '36.7%', '3': '21.3%', '4': '13.7%'}"
Q6,¿Qué importancia tiene la religión en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '21.3%', '2': '32.6%', '3': '27.4%', '4': '18.7%'}"
Q18,¿Preferiría usted NO tener como vecinos a drogadictos?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '76.5%', '2': '23.5%'}"
Q19,¿Preferiría usted NO tener como vecinos a gente de otra raza?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '20%', '2': '80%'}"
Q20,¿Preferiría usted NO tener como vecinos a personas que tengan SIDA?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '40%', '2': '60%'}"
Q21,¿Preferiría usted NO tener como vecinos a trabajadores inmigrantes/extranjeros?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '40%', '2': '60%'}"
