id,question,choices,choice_keys,answer,type,response
Q1,Quão importante é a família em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'78.50%','2':'18.20%','3':'2.10%','4':'1.20%'}"
Q2,Quão importantes são os amigos em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'68.50%','2':'25.30%','3':'4.70%','4':'1.50%'}"
Q3,Quão importante é o tempo livre em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'55%','2':'35%','3':'7%','4':'3%'}"
Q4,Quão importante é a política em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'15.00%','2':'35.00%','3':'40.00%','4':'10.00%'}"
Q5,Quão importante é o trabalho em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'65%','2':'30%','3':'4%','4':'1%'}"
Q6,Quão importante é a religião em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'42.15%','2':'28.30%','3':'18.75%','4':'10.80%'}"
Q18,O(a) Sr.(a) mencionaria viciados em drogas como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'62.00%','2':'38.00%'}"
Q19,O(a) Sr.(a) mencionaria pessoas de outras raças como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'12.73%','2':'87.27%'}"
Q20,O(a) Sr.(a) mencionaria pessoas com AIDS como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'12.34%','2':'87.66%'}"
Q21,O(a) Sr.(a) mencionaria trabalhadores imigrantes ou estrangeiros como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'23.50%','2':'76.50%'}"
Q22,O(a) Sr.(a) mencionaria homossexuais como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'28.73%','2':'71.27%'}"
Q23,O(a) Sr.(a) mencionaria pessoas de outras religiões como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'18.50%','2':'81.50%'}"
Q24,O(a) Sr.(a) mencionaria pessoas que bebem demais como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'72.00%','2':'28.00%'}"
Q25,"O(a) Sr.(a) mencionaria casais que não são casados, mas moram juntos, como pessoas que não gostaria de ter como vizinhos?","['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'30.00%','2':'70.00%'}"
Q26,O(a) Sr.(a) mencionaria pessoas que falam uma língua diferente como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'15.00%','2':'85.00%'}"
Q27,"Um dos meus principais objetivos na vida é fazer meus pais se orgulharem de mim. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'45%','2':'40%','3':'10%','4':'5%'}"
Q28,"Quando a mãe tem um trabalho remunerado, as crianças sofrem. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'5.12%','2':'15.33%','3':'39.87%','4':'39.68%'}"
Q29,"De modo geral, os homens são melhores líderes políticos do que as mulheres. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'12.5%','2':'12.5%','3':'30.0%','4':'45.0%'}"
Q30,"Fazer faculdade é mais importante para os homens do que para as mulheres. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'4.50%','2':'8.20%','3':'28.30%','4':'59.00%'}"
Q31,"De modo geral, os homens fazem negócios melhor do que as mulheres. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'5.00%','2':'20.00%','3':'35.00%','4':'40.00%'}"
Q32,"Ser dona de casa traz tanta realização quanto trabalhar fora e ganhar salário. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'18%','2':'35%','3':'30%','4':'17%'}"
Q33,"Quando há poucos empregos, os homens devem ter mais direito a um emprego do que as mulheres?","['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'3.00%','2':'12.00%','3':'25.00%','4':'25.00%','5':'35.00%'}"
Q34,"Quando há poucos empregos, os empregadores deveriam dar mais prioridade aos brasileiros do que aos estrangeiros?","['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'35.00%','2':'30.00%','3':'20.00%','4':'10.00%','5':'5.00%'}"
Q35,"Se a mulher ganha mais dinheiro que o seu marido, é quase certo que isso causará problemas?","['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'10.00%','2':'15.00%','3':'20.00%','4':'35.00%','5':'20.00%'}"
Q36,Casais homossexuais podem ser pais tão bons quanto outros casais?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'25.00%','2':'40.00%','3':'20.00%','4':'10.00%','5':'5.00%'}"
Q37,Ter filhos é um dever que temos para com a sociedade?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'12.5%','2':'18.3%','3':'24.7%','4':'28.1%','5':'16.4%'}"
Q38,Filhos adultos têm o dever de oferecer cuidado aos seus pais por longo tempo?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'40.00%','2':'30.00%','3':'15.00%','4':'10.00%','5':'5.00%'}"
Q39,As pessoas que não trabalham ficam preguiçosas?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'15.00%','2':'25.00%','3':'20.00%','4':'30.00%','5':'10.00%'}"
Q40,Trabalhar é uma obrigação para com a sociedade?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'33.00%','2':'15.00%','3':'28.00%','4':'18.00%','5':'6.00%'}"
Q41,"O trabalho deve vir sempre em primeiro lugar, mesmo que isso signifique menos tempo livre?","['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'7.50%','2':'17.30%','3':'25.80%','4':'36.40%','5':'13.00%'}"
Q42,Qual das seguintes afirmações descreve melhor sua opinião sobre a sociedade em que vivemos?,"['A organização de nossa sociedade deve ser mudada radicalmente por meio de uma revolução.', 'Nossa sociedade deve ser melhorada aos poucos por meio de reformas.', 'Nossa sociedade atual deve ser defendida de maneira corajosa contra todas as forças revolucionárias.']","['1', '2', '3']","1. A organização de nossa sociedade deve ser mudada radicalmente por meio de uma revolução.
2. Nossa sociedade deve ser melhorada aos poucos por meio de reformas.
3. Nossa sociedade atual deve ser defendida de maneira corajosa contra todas as forças revolucionárias.",Opinion-Dependent,"{'1':'7.23%','2':'69.81%','3':'22.96%'}"
Q43,"Se o trabalho passasse a ser menos importante em nossas vidas, o(a) Sr.(a) acharia isso…?","['Bom', 'Nenhum dos dois', 'Ruim']","['1', '2', '3']","1. Bom
2. Nenhum dos dois
3. Ruim",Opinion-Dependent,"{'1':'60.00%','2':'20.00%','3':'20.00%'}"
Q44,"Se houvesse mais importância ao desenvolvimento da tecnologia, o(a) Sr.(a) acharia isso…?","['Bom', 'Nenhum dos dois', 'Ruim']","['1', '2', '3']","1. Bom
2. Nenhum dos dois
3. Ruim",Opinion-Dependent,"{'1':'65.00%','2':'30.00%','3':'5.00%'}"
Q45,"Se houvesse mais respeito pelas autoridades, o(a) Sr.(a) acharia isso…?","['Bom', 'Nenhum dos dois', 'Ruim']","['1', '2', '3']","1. Bom
2. Nenhum dos dois
3. Ruim",Opinion-Dependent,"{'1':'65.00%','2':'25.00%','3':'10.00%'}"
Q46,"Em geral, o(a) Sr.(a) se considera uma pessoa…?","['Muito feliz', 'Feliz', 'Não muito feliz', 'Infeliz']","['1', '2', '3', '4']","1. Muito feliz
2. Feliz
3. Não muito feliz
4. Infeliz",Opinion-Dependent,"{'1':'20.00%','2':'60.00%','3':'15.00%','4':'5.00%'}"
Q48,"Usando uma escala de 1 a 10, quanta liberdade de escolha e controle o(a) Sr.(a) acha que tem sobre o que acontece em sua vida, onde 1 significa ""nenhuma liberdade de escolha"" e 10 significa ""total liberdade de escolha""?","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",Opinion-Dependent,"{'1':'3.50%','2':'4.20%','3':'6.80%','4':'9.10%','5':'12.30%','6':'15.60%','7':'18.40%','8':'16.20%','9':'8.50%','10':'5.40%'}"
Q57,"De modo geral, o(a) Sr.(a) diria que pode confiar na maioria das pessoas ou é preciso ser muito cuidadoso com elas?","['A maioria das pessoas são de confiança.', 'É preciso ser muito cuidadoso.']","['1', '2']","1. A maioria das pessoas são de confiança.
2. É preciso ser muito cuidadoso.",Opinion-Dependent,"{'1':'35.00%','2':'65.00%'}"
Q58,Quanta confiança o(a) Sr.(a) tem em sua família?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'85.00%','2':'10.00%','3':'3.00%','4':'2.00%'}"
Q59,Quanta confiança o(a) Sr.(a) tem em seus vizinhos?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'15.00%','2':'50.00%','3':'25.00%','4':'10.00%'}"
Q60,Quanta confiança o(a) Sr.(a) tem em pessoas que conhece pessoalmente?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'65.00%','2':'25.00%','3':'8.50%','4':'1.50%'}"
Q61,Quanta confiança o(a) Sr.(a) tem em pessoas que vê pela primeira vez?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'5%','2':'15%','3':'50%','4':'30%'}"
Q62,Quanta confiança o(a) Sr.(a) tem em pessoas de outras religiões?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'15.00%','2':'45.00%','3':'30.00%','4':'10.00%'}"
Q63,Quanta confiança o(a) Sr.(a) tem em pessoas de outros países?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'7%','2':'48%','3':'30%','4':'15%'}"
Q65,"Quanta confiança o(a) Sr.(a) tem nas Forças Armadas (Exército, Marinha e Aeronáutica)?","['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'28.75%','2':'38.20%','3':'22.15%','4':'10.90%'}"
Q66,Quanta confiança o(a) Sr.(a) tem na imprensa?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'8.00%','2':'35.00%','3':'42.00%','4':'15.00%'}"
Q67,Quanta confiança o(a) Sr.(a) tem na televisão?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'5.00%','2':'30.00%','3':'45.00%','4':'20.00%'}"
Q68,Quanta confiança o(a) Sr.(a) tem nos sindicatos?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'12.34%','2':'47.89%','3':'28.76%','4':'11.01%'}"
Q69,Quanta confiança o(a) Sr.(a) tem na polícia?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'15.00%','2':'45.00%','3':'25.00%','4':'15.00%'}"
Q70,Quanta confiança o(a) Sr.(a) tem no Judiciário?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'7.45%','2':'42.18%','3':'35.27%','4':'15.10%'}"
Q71,Quanta confiança o(a) Sr.(a) tem no Governo Federal?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'5.00%','2':'25.00%','3':'40.00%','4':'30.00%'}"
Q72,Quanta confiança o(a) Sr.(a) tem nos partidos políticos?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'8.00%','2':'22.00%','3':'35.00%','4':'35.00%'}"
Q73,Quanta confiança o(a) Sr.(a) tem no Congresso Nacional (Câmara e Senado)?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'5%','2':'15%','3':'50%','4':'30%'}"
Q74,Quanta confiança o(a) Sr.(a) tem no serviço público?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'5%','2':'30%','3':'45%','4':'20%'}"
Q75,Quanta confiança o(a) Sr.(a) tem nas universidades?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'20.00%','2':'45.00%','3':'25.00%','4':'10.00%'}"
Q76,Quanta confiança o(a) Sr.(a) tem nas eleições?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'12.00%','2':'45.00%','3':'25.00%','4':'18.00%'}"
