id,question,choices,choice_keys,answer,type,response
Q1,Quão importante é a família em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '60.00%', '2': '30.00%', '3': '5.00%', '4': '5.00%'}"
Q2,Quão importantes são os amigos em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '60.00%', '2': '30.00%', '3': '5.00%', '4': '5.00%'}"
Q3,Quão importante é o tempo livre em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '60.00%', '2': '30.00%', '3': '5.00%', '4': '5.00%'}"
Q4,Quão importante é a política em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '23.45%', '2': '41.17%', '3': '25.62%', '4': '9.76%'}"
Q5,Quão importante é o trabalho em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '55.00%', '2': '35.00%', '3': '8.00%', '4': '2.00%'}"
Q6,Quão importante é a religião em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '43.75%', '2': '31.25%', '3': '15.00%', '4': '10.00%'}"
Q18,O(a) Sr.(a) mencionaria viciados em drogas como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '73.21%', '2': '26.79%'}"
Q19,O(a) Sr.(a) mencionaria pessoas de outras raças como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '10.00%', '2': '90.00%'}"
Q20,O(a) Sr.(a) mencionaria pessoas com AIDS como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q21,O(a) Sr.(a) mencionaria trabalhadores imigrantes ou estrangeiros como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q22,O(a) Sr.(a) mencionaria homossexuais como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q23,O(a) Sr.(a) mencionaria pessoas de outras religiões como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q24,O(a) Sr.(a) mencionaria pessoas que bebem demais como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '70.00%', '2': '30.00%'}"
Q25,"O(a) Sr.(a) mencionaria casais que não são casados, mas moram juntos, como pessoas que não gostaria de ter como vizinhos?","['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q26,O(a) Sr.(a) mencionaria pessoas que falam uma língua diferente como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q27,"Um dos meus principais objetivos na vida é fazer meus pais se orgulharem de mim. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1': '20.00%', '2': '40.00%', '3': '25.00%', '4': '15.00%'}"
Q28,"Quando a mãe tem um trabalho remunerado, as crianças sofrem. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1': '10.00%', '2': '20.00%', '3': '40.00%', '4': '30.00%'}"
Q29,"De modo geral, os homens são melhores líderes políticos do que as mulheres. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1': '10.00%', '2': '15.00%', '3': '40.00%', '4': '35.00%'}"
