id,question,choices,choice_keys,answer,type,response
Q1,您觉得家庭在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '65.23%', '2': '27.19%', '3': '5.34%', '4': '2.24%'}"
Q2,您觉得朋友在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '55.32%', '2': '32.15%', '3': '9.43%', '4': '3.10%'}"
Q3,您觉得休闲时间在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '45.00%', '2': '35.00%', '3': '15.00%', '4': '5.00%'}"
Q4,您觉得政治在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '25.31%', '2': '37.45%', '3': '22.12%', '4': '15.12%'}"
Q5,您觉得工作在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '42.31%', '2': '35.67%', '3': '15.24%', '4': '6.78%'}"
Q6,您觉得宗教在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '22.15%', '2': '33.42%', '3': '27.38%', '4': '17.05%'}"
Q18,您是否不愿和吸毒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '72.34%', '2': '27.66%'}"
Q19,您是否不愿和不同种族/民族的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '12.34%', '2': '87.66%'}"
Q20,您是否不愿和艾滋病患者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '22.31%', '2': '77.69%'}"
Q21,您是否不愿和外国移民/来华工作的外国人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '22.31%', '2': '77.69%'}"
Q22,您是否不愿和同性恋者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '22.31%', '2': '77.69%'}"
Q23,您是否不愿和不同宗教信仰的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '15.32%', '2': '84.68%'}"
Q24,您是否不愿和酗酒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '65.32%', '2': '34.68%'}"
Q25,您是否不愿和未婚同居的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '22.31%', '2': '77.69%'}"
Q26,您是否不愿和讲不同方言的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '20.50%', '2': '79.50%'}"
Q27,您是否同意“我生活的主要目标是使父母感到骄傲”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q28,您是否同意“如果母亲需要挣钱养家而出门上班，孩子的成长会受到影响”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '15.00%', '2': '35.00%', '3': '30.00%', '4': '20.00%'}"
Q29,您是否同意“总体来看，男性比女性更适合做政治领袖”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '12.34%', '2': '23.12%', '3': '34.56%', '4': '30.08%'}"
Q30,您是否同意“与女孩相比，大学教育对男孩更重要”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '5.23%', '2': '12.45%', '3': '37.89%', '4': '44.43%'}"
Q31,您是否同意“总的来说，男人比女人能够成为更好的公司管理者”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '5.23%', '2': '12.45%', '3': '37.89%', '4': '44.43%'}"
Q32,您是否同意“女人专职做家庭主妇与出去工作同样可以成就自己”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q33,您是否同意“当就业机会少时，男人应该比女人更有权力工作”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '5.23%', '2': '12.45%', '3': '18.32%', '4': '32.10%', '5': '31.90%'}"
Q34,您是否同意“在我国，当就业机会少时，雇主应优先考虑中国人而非外国移民”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '22.31%', '2': '28.45%', '3': '15.67%', '4': '20.89%', '5': '12.68%'}"
Q35,您是否同意“如果家庭中妻子挣钱比丈夫多，那将出现问题”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '5.23%', '2': '12.45%', '3': '18.32%', '4': '32.10%', '5': '31.90%'}"
Q36,您是否同意“同性恋伴侣能成为好的家长”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '22.31%', '2': '34.52%', '3': '15.67%', '4': '18.24%', '5': '9.26%'}"
Q37,您是否同意“生儿育女是对社会的一项责任”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '15.00%', '2': '25.00%', '3': '20.00%', '4': '25.00%', '5': '15.00%'}"
Q38,您是否同意“子女有责任赡养父母”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '42.31%', '2': '31.23%', '3': '12.45%', '4': '8.76%', '5': '5.25%'}"
Q39,您是否同意“一个人如果不工作就会变得懒惰”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '22.31%', '2': '34.52%', '3': '15.67%', '4': '18.24%', '5': '9.26%'}"
Q40,您是否同意“工作是对社会的一项责任”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '15.00%', '4': '15.00%', '5': '10.00%'}"
Q41,您是否同意“即使意味着只有很少的闲暇时间，工作还是最重要的”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '12.34%', '2': '23.56%', '3': '20.12%', '4': '25.89%', '5': '18.09%'}"
