id,question,choices,choice_keys,answer,type,response
Q1,Wie wichtig ist Ihnen Familie in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '65.21%', '2': '27.34%', '3': '5.12%', '4': '2.33%'}"
Q2,Wie wichtig sind Ihnen Freunde in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '65.21%', '2': '27.34%', '3': '5.12%', '4': '2.33%'}"
Q3,Wie wichtig ist Ihnen Freizeit in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '45.00%', '2': '40.00%', '3': '10.00%', '4': '5.00%'}"
Q4,Wie wichtig ist Ihnen Politik in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '35.21%', '2': '42.59%', '3': '15.63%', '4': '6.57%'}"
Q5,Wie wichtig ist Ihnen Arbeit in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '45.00%', '2': '40.00%', '3': '10.00%', '4': '5.00%'}"
Q6,Wie wichtig ist Ihnen Religion in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q18,Würden Sie Drogenabhängige ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '65.32%', '2': '34.68%'}"
Q19,Würden Sie Menschen anderer Hautfarbe ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '5.23%', '2': '94.77%'}"
Q20,Würden Sie Menschen mit AIDS ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '12.34%', '2': '87.66%'}"
Q21,Würden Sie Ausländer/ausländische Arbeitskräfte ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q22,Würden Sie Homosexuelle ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '12.34%', '2': '87.66%'}"
Q23,Würden Sie Menschen anderer Religion ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '12.34%', '2': '87.66%'}"
Q24,"Würden Sie Leute, die oft betrunken sind, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '78.34%', '2': '21.66%'}"
Q25,"Würden Sie unverheiratete Paare, die zusammenleben, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '25.31%', '2': '74.69%'}"
Q26,"Würden Sie Menschen, die eine andere Sprache sprechen, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.00%', '2': '85.00%'}"
Q27,"Zu meinen Lebenszielen gehört es, meine Eltern mit Stolz zu erfüllen.","['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '25.00%', '2': '40.00%', '3': '25.00%', '4': '10.00%'}"
Q28,"Wenn eine Mutter einer bezahlten Arbeit nachgeht, dann leiden ihre Kinder darunter.","['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '12.34%', '2': '23.45%', '3': '34.56%', '4': '29.65%'}"
Q29,In politischen Führungspositionen sind Männer allgemein besser als Frauen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '12.34%', '2': '23.45%', '3': '34.23%', '4': '30.00%'}"
Q30,Eine Hochschulausbildung ist für Jungen wichtiger als für Mädchen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '5.23%', '2': '12.45%', '3': '34.12%', '4': '48.20%'}"
Q31,Insgesamt sind Männer bessere Führungskräfte in der Wirtschaft als Frauen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '12.34%', '2': '23.45%', '3': '34.23%', '4': '30.00%'}"
Q32,Eine Hausfrau zu sein ist genauso erfüllend wie eine bezahlte Arbeit.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q33,"Wenn die Arbeitsplätze knapp sind, haben Männer eher ein Recht auf Arbeit als Frauen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '12.34%', '2': '23.45%', '3': '28.76%', '4': '21.34%', '5': '14.11%'}"
