id,question,choices,choice_keys,answer,type,response
Q1,あなたの生活にとって、家族はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1':'72.35%','2':'21.45%','3':'4.80%','4':'1.40%'}"
Q2,あなたの生活にとって、友人・知人はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1':'65.00%','2':'25.00%','3':'7.50%','4':'2.50%'}"
Q3,あなたの生活にとって、余暇時間はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1':'65.00%','2':'25.00%','3':'7.00%','4':'3.00%'}"
Q4,あなたの生活にとって、政治はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '35.00%', '2': '40.00%', '3': '20.00%', '4': '5.00%'}"
Q5,あなたの生活にとって、仕事はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1':'52.50%','2':'32.50%','3':'9.80%','4':'5.20%'}"
Q6,あなたの生活にとって、宗教はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '18.50%', '2': '32.75%', '3': '29.25%', '4': '19.50%'}"
Q18,麻薬常用者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '78.50%', '2': '21.50%'}"
Q19,人種の異なる人々が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '15.00%', '2': '85.00%'}"
Q20,エイズ感染者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '18.50%', '2': '81.50%'}"
Q21,移民や外国人労働者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '38.42%', '2': '61.58%'}"
