id,question,choices,choice_keys,answer,type,response
Q1,あなたの生活にとって、家族はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '45%', '2': '35%', '3': '15%', '4': '5%'}"
Q2,あなたの生活にとって、友人・知人はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '45%', '2': '35%', '3': '15%', '4': '5%'}"
Q3,あなたの生活にとって、余暇時間はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '28%', '2': '35%', '3': '25%', '4': '12%'}"
Q4,あなたの生活にとって、政治はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '28%', '2': '35%', '3': '25%', '4': '12%'}"
Q5,あなたの生活にとって、仕事はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '38%', '2': '27%', '3': '20%', '4': '15%'}"
Q6,あなたの生活にとって、宗教はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '18%', '2': '32%', '3': '25%', '4': '25%'}"
Q18,麻薬常用者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '65%', '2': '35%'}"
Q19,人種の異なる人々が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '12%', '2': '88%'}"
Q20,エイズ感染者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '28%', '2': '72%'}"
Q21,移民や外国人労働者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '20%', '2': '80%'}"
