id,question,choices,choice_keys,answer,type,response
Q1,あなたの生活にとって、家族はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '43.75%', '2': '31.25%', '3': '15.00%', '4': '10.00%'}"
Q2,あなたの生活にとって、友人・知人はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '43.75%', '2': '31.25%', '3': '15.00%', '4': '10.00%'}"
Q3,あなたの生活にとって、余暇時間はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '43.75%', '2': '31.25%', '3': '15.00%', '4': '10.00%'}"
Q4,あなたの生活にとって、政治はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '40.82%', '2': '31.49%', '3': '20.19%', '4': '7.50%'}"
Q5,あなたの生活にとって、仕事はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '43.75%', '2': '31.25%', '3': '15.00%', '4': '10.00%'}"
Q6,あなたの生活にとって、宗教はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '18.52%', '2': '34.19%', '3': '29.41%', '4': '17.88%'}"
Q18,麻薬常用者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '73.42%', '2': '26.58%'}"
Q19,人種の異なる人々が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '12.45%', '2': '87.55%'}"
Q20,エイズ感染者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '43.75%', '2': '56.25%'}"
Q21,移民や外国人労働者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '34.92%', '2': '65.08%'}"
