id,question,choices,choice_keys,answer,type,response
Q1,선생님의 일상 생활에서 ‘가정’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '62.1%', '2': '21.3%', '3': '5.2%', '4': '11.4%'}"
Q2,선생님의 일상 생활에서 ‘친구’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '42.0%', '2': '35.0%', '3': '15.0%', '4': '8.0%'}"
Q3,선생님의 일상 생활에서 ‘여가생활’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '23.45%', '2': '32.14%', '3': '21.73%', '4': '22.68%'}"
Q4,선생님의 일상 생활에서 ‘정치’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '23.45%', '2': '32.14%', '3': '24.87%', '4': '19.54%'}"
Q5,선생님의 일상 생활에서 ‘직장’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '43.02%', '2': '26.78%', '3': '12.46%', '4': '17.74%'}"
Q6,선생님의 일상 생활에서 ‘종교’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '26.5%', '2': '35.7%', '3': '23.9%', '4': '13.9%'}"
Q18,"다음의 사람들 중에서, 선생님께서는 '마약상습 복용자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '62.3%', '2': '37.7%'}"
Q19,"다음의 사람들 중에서, 선생님께서는 '다른 인종인 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '42.0%', '2': '58.0%'}"
Q20,"다음의 사람들 중에서, 선생님께서는 '에이즈 환자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '78.3%', '2': '21.7%'}"
Q21,"다음의 사람들 중에서, 선생님께서는 '이민자/외국인 노동자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '43.75%', '2': '56.25%'}"
Q22,"다음의 사람들 중에서, 선생님께서는 '동성연애자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '15.79%', '2': '84.21%'}"
Q23,"다음의 사람들 중에서, 선생님께서는 '종교가 다른 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '62.15%', '2': '37.85%'}"
Q24,"다음의 사람들 중에서, 선생님께서는 '술을 많이 마시는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '62.1%', '2': '37.9%'}"
Q25,"다음의 사람들 중에서, 선생님께서는 '결혼하지 않고 동거하는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '62.3%', '2': '37.7%'}"
Q26,"다음의 사람들 중에서, 선생님께서는 '다른 언어를 사용하는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '62.3%', '2': '37.7%'}"
Q27,내 인생의 목표 중 하나는 부모님이 나를 자랑스러워하는 것이다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '28.73%', '2': '36.15%', '3': '21.29%', '4': '13.83%'}"
Q28,"어머니가 일을 하면, 아이들이 어려움을 겪는다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?","['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '15.62%', '2': '26.32%', '3': '31.26%', '4': '26.79%'}"
Q29,전반적으로 정치 지도자로는 남성이 여성보다 낫다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '15.62%', '2': '2.31%', '3': '27.19%', '4': '54.88%'}"
Q30,대학 교육은 여성보다 남성에게 더 중요하다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '15.62%', '2': '26.32%', '3': '31.26%', '4': '26.79%'}"
Q31,사업은 여성보다 남성이 (경영)하는 것이 더 낫다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '15.62%', '2': '21.32%', '3': '34.57%', '4': '28.49%'}"
Q32,주부의 역할은 직장과 동일한 만족감을 준다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '23.45%', '2': '12.63%', '3': '34.12%', '4': '29.8%'}"
Q33,일자리가 부족할 때 여자보다 남자에게 우선 일자리를 줘야 한다는 의견에 대해 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '15.62%', '2': '2.56%', '3': '17.19%', '4': '51.95%', '5': '12.68%'}"
Q34,일자리가 부족할 때 외국인보다 자국민이 먼저 고용되어야 한다는 의견에 대해 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '45.23%', '2': '21.56%', '3': '15.12%', '4': '12.89%', '5': '5.21%'}"
Q35,여자가 남편보다 돈을 더 많이 번다면 분명히 문제가 발생할 것이라는 의견에 대해 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '15.6%', '2': '2.3%', '3': '17.2%', '4': '51.9%', '5': '13.0%'}"
Q36,동성 결혼 커플도 다른 커플들과 마찬가지로 좋은 부모가 될 수 있다는 의견에 대해 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '43.21%', '2': '17.65%', '3': '12.34%', '4': '15.21%', '5': '11.59%'}"
Q37,아이를 갖는 것은 사회에 대한 의무라는 의견에 대해 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '15.6%', '2': '12.4%', '3': '26.3%', '4': '25.1%', '5': '20.6%'}"
Q38,성인이 된 자식들은 부모를 돌봐야 할 의무가 있다는 의견에 대해 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '42.0%', '2': '21.5%', '3': '18.5%', '4': '15.0%', '5': '3.0%'}"
Q39,일하지 않는 사람은 게을러지기 쉽다는 의견에 대해 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '42.0%', '2': '21.5%', '3': '17.5%', '4': '14.0%', '5': '5.0%'}"
Q40,일을 하는 것은 사회에 대한 의무라는 의견에 대해 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '28.7%', '2': '5.3%', '3': '24.6%', '4': '30.8%', '5': '10.6%'}"
Q41,"여가 시간이 부족해도, 일이 우선시 되어야 한다는 의견에 대해 어떻게 생각하십니까?","['전적으로 찬성', '찬성', '중립', '반대', '전적으로 반대']","['1', '2', '3', '4', '5']","1. 전적으로 찬성
2. 찬성
3. 중립
4. 반대
5. 전적으로 반대",Opinion-Dependent,"{'1': '28.0%', '2': '15.5%', '3': '20.0%', '4': '25.0%', '5': '11.5%'}"
Q42,다음과 같은 세 가지의 의견은 우리가 살고 있는 사회에 기본적으로 갖춰야 할 태도입니다. 어느 것이 선생님의 의견에 가깝습니까? (하나만 선택해주십시오),"['사회는 개혁을 통해 급진적으로 변화되어야 한다.', '사회는 개혁을 통해 점진적으로 개선되어야 한다.', '사회는 체제 전복적인 세력으로부터 보호되어야 한다.']","['1', '2', '3']","1. 사회는 개혁을 통해 급진적으로 변화되어야 한다.
2. 사회는 개혁을 통해 점진적으로 개선되어야 한다.
3. 사회는 체제 전복적인 세력으로부터 보호되어야 한다.",Opinion-Dependent,"{'1': '23.45%', '2': '46.12%', '3': '30.43%'}"
Q43,"가까운 미래에 '일의 중요성이 더 강조된다'는 변화가 일어난다면, 선생님께서는 이에 대해 어떻게 생각하십니까?","['바람직하다', '상관 없다', '바람직하지 않다']","['1', '2', '3']","1. 바람직하다
2. 상관 없다
3. 바람직하지 않다",Opinion-Dependent,"{'1': '43.21%', '2': '27.56%', '3': '29.23%'}"
Q44,"가까운 미래에 '기술의 발달이 더욱 강조된다'는 변화가 일어난다면, 선생님께서는 이에 대해 어떻게 생각하십니까?","['바람직하다', '상관 없다', '바람직하지 않다']","['1', '2', '3']","1. 바람직하다
2. 상관 없다
3. 바람직하지 않다",Opinion-Dependent,"{'1': '42.0%', '2': '35.0%', '3': '23.0%'}"
Q46,"모든 것을 고려할 때, 선생님께서는 현재 어느 정도 행복하십니까?","['매우 행복하다', '행복한 편이다', '행복하지 않은 편이다', '전혀 행복하지 않다']","['1', '2', '3', '4']","1. 매우 행복하다
2. 행복한 편이다
3. 행복하지 않은 편이다
4. 전혀 행복하지 않다",Opinion-Dependent,"{'1': '15.62%', '2': '42.31%', '3': '26.45%', '4': '15.62%'}"
Q48,"선생님께서는 일상생활을 할 때 자신의 자유로운 선택이 가능하다고 느끼십니까? 아니면 거의 자유선택이 없다고 생각하십니까? 느끼시는 정도를 1부터 10 중에 선택해주십시오. (1은 '선택이 없다', 10은 '자유선택이 많다'를 의미합니다.)","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",Opinion-Dependent,"{'1': '13.52%', '2': '11.26%', '3': '12.89%', '4': '14.77%', '5': '15.49%', '6': '16.21%', '7': '11.56%', '8': '8.69%', '9': '7.59%', '10': '11.82%'}"
Q57,일반적으로 말해서 사람들을 믿을 수 있다고 생각하십니까? 아니면 인간관계에서 조심해야 한다고 생각하십니까?,"['대부분 믿을 수 있다', '조심해야 한다']","['1', '2']","1. 대부분 믿을 수 있다
2. 조심해야 한다",Opinion-Dependent,"{'1': '62.1%', '2': '37.9%'}"
Q58,선생님께서는 나의 가족을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '42.0%', '2': '35.0%', '3': '15.0%', '4': '8.0%'}"
Q59,선생님께서는 나의 이웃을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '20.72%', '4': '12.53%'}"
Q60,선생님께서는 개인적으로 아는 사람을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '18.72%', '4': '14.53%'}"
Q61,선생님께서는 처음 만난 사람을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '15.62%', '2': '26.32%', '3': '31.26%', '4': '26.79%'}"
Q62,선생님께서는 다른 종교를 믿는 사람을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '18.27%', '4': '14.98%'}"
Q63,선생님께서는 다른 국적을 가진 사람을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '20.72%', '4': '12.53%'}"
Q65,선생님께서는 군대를 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '20.79%', '4': '12.46%'}"
Q66,선생님께서는 언론을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '25.63%', '2': '36.21%', '3': '20.19%', '4': '17.97%'}"
Q67,선생님께서는 텔레비전을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '25.63%', '2': '36.21%', '3': '20.19%', '4': '17.97%'}"
Q68,선생님께서는 노동조합을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.31%', '2': '36.78%', '3': '20.26%', '4': '13.65%'}"
Q69,선생님께서는 경찰을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '20.79%', '4': '12.46%'}"
Q70,선생님께서는 법원을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '20.79%', '4': '12.46%'}"
Q71,선생님께서는 정부를 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '15.62%', '2': '26.36%', '3': '29.19%', '4': '28.83%'}"
Q72,선생님께서는 정당을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '15.6%', '2': '28.4%', '3': '26.8%', '4': '29.2%'}"
Q73,선생님께서는 의회를 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.31%', '2': '36.54%', '3': '20.19%', '4': '13.96%'}"
Q74,선생님께서는 공무원을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.31%', '2': '36.54%', '3': '20.19%', '4': '13.96%'}"
Q75,선생님께서는 대학을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '18.29%', '4': '14.96%'}"
Q76,선생님께서는 선거를 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.31%', '2': '36.54%', '3': '20.19%', '4': '13.96%'}"
Q77,선생님께서는 대기업을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '17.3%', '2': '26.4%', '3': '29.3%', '4': '27.0%'}"
Q78,선생님께서는 은행을 어느 정도 신뢰하십니까?,"['매우 신뢰한다', '어느 정도 신뢰한다', '별로 신뢰하지 않는다', '전혀 신뢰하지 않는다']","['1', '2', '3', '4']","1. 매우 신뢰한다
2. 어느 정도 신뢰한다
3. 별로 신뢰하지 않는다
4. 전혀 신뢰하지 않는다",Opinion-Dependent,"{'1': '29.63%', '2': '37.12%', '3': '20.72%', '4': '12.53%'}"
