id,question,choices,choice_keys,answer,type,response
Q1,Gia đình quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '65.00%', '2': '25.00%', '3': '8.00%', '4': '2.00%'}"
Q2,Bạn bè quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '45.00%', '2': '35.00%', '3': '15.00%', '4': '5.00%'}"
Q3,Thời gian giải trí quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '45.00%', '2': '35.00%', '3': '15.00%', '4': '5.00%'}"
Q4,Chính trị quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q5,Việc làm quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '45.00%', '2': '35.00%', '3': '15.00%', '4': '5.00%'}"
Q6,Tôn giáo quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q18,Anh/chị có mong muốn người nghiện ma túy sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '70.00%', '2': '30.00%'}"
Q19,Anh/chị có mong muốn những người thuộc các chủng tộc khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '45.00%', '2': '55.00%'}"
Q20,Anh/chị có mong muốn người bị AIDS sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '60.00%', '2': '40.00%'}"
Q21,Anh/chị có mong muốn người nhập cư/lao động nước ngoài sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '45.00%', '2': '55.00%'}"
