id,question,choices,choice_keys,answer,type,response
Q1,Gia đình quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1':'78.50%','2':'18.00%','3':'2.50%','4':'1.00%'}"
Q2,Bạn bè quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1':'65%','2':'25%','3':'8%','4':'2%'}"
Q3,Thời gian giải trí quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1':'55%','2':'35%','3':'7%','4':'3%'}"
Q4,Chính trị quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1':'25.00%','2':'45.00%','3':'25.00%','4':'5.00%'}"
Q5,Việc làm quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1':'75.00%','2':'20.00%','3':'4.00%','4':'1.00%'}"
Q6,Tôn giáo quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1':'45.00%','2':'35.00%','3':'15.00%','4':'5.00%'}"
Q18,Anh/chị có mong muốn người nghiện ma túy sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'88%','2':'12%'}"
Q19,Anh/chị có mong muốn những người thuộc các chủng tộc khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'35%','2':'65%'}"
Q20,Anh/chị có mong muốn người bị AIDS sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'61.45%','2':'38.55%'}"
Q21,Anh/chị có mong muốn người nhập cư/lao động nước ngoài sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'67.00%','2':'33.00%'}"
Q22,Anh/chị có mong muốn người đồng tính sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'65.00%','2':'35.00%'}"
Q23,Anh/chị có mong muốn người theo tôn giáo khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'25.00%','2':'75.00%'}"
Q24,Anh/chị có mong muốn người nghiện rượu nặng sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'85.00%','2':'15.00%'}"
Q25,Anh/chị có mong muốn các cặp đôi chưa kết hôn sống cùng nhau trong cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'65.00%','2':'35.00%'}"
Q26,Anh/chị có mong muốn những người nói các ngôn ngữ khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1':'35.00%','2':'65.00%'}"
Q27,Một trong những mục tiêu chính trong cuộc đời tôi là làm ba mẹ cảm thấy tự hào.,"['Hoàn toàn đồng ý', 'Đồng ý', 'Không đồng ý', 'Hoàn toàn không đồng ý']","['1', '2', '3', '4']","1. Hoàn toàn đồng ý
2. Đồng ý
3. Không đồng ý
4. Hoàn toàn không đồng ý",Opinion-Dependent,"{'1':'62.50%','2':'26.80%','3':'7.30%','4':'3.40%'}"
Q28,Khi người mẹ dành quá nhiều thời gian để kiếm tiền thì con cái cũng sẽ bị chịu ảnh hưởng.,"['Hoàn toàn đồng ý', 'Đồng ý', 'Không đồng ý', 'Hoàn toàn không đồng ý']","['1', '2', '3', '4']","1. Hoàn toàn đồng ý
2. Đồng ý
3. Không đồng ý
4. Hoàn toàn không đồng ý",Opinion-Dependent,"{'1':'45.00%','2':'35.00%','3':'15.00%','4':'5.00%'}"
Q29,"Nhìn chung, nam giới có thể lãnh đạo chính trị tốt hơn nữ giới.","['Hoàn toàn đồng ý', 'Đồng ý', 'Không đồng ý', 'Hoàn toàn không đồng ý']","['1', '2', '3', '4']","1. Hoàn toàn đồng ý
2. Đồng ý
3. Không đồng ý
4. Hoàn toàn không đồng ý",Opinion-Dependent,"{'1':'10.00%','2':'20.00%','3':'35.00%','4':'35.00%'}"
Q30,Giáo dục đại học quan trọng đối với nam giới hơn nữ giới.,"['Hoàn toàn đồng ý', 'Đồng ý', 'Không đồng ý', 'Hoàn toàn không đồng ý']","['1', '2', '3', '4']","1. Hoàn toàn đồng ý
2. Đồng ý
3. Không đồng ý
4. Hoàn toàn không đồng ý",Opinion-Dependent,"{'1':'4.50%','2':'12.30%','3':'42.20%','4':'41.00%'}"
Q31,"Nhìn chung, nam giới có thể lãnh đạo kinh doanh tốt hơn nữ giới.","['Hoàn toàn đồng ý', 'Đồng ý', 'Không đồng ý', 'Hoàn toàn không đồng ý']","['1', '2', '3', '4']","1. Hoàn toàn đồng ý
2. Đồng ý
3. Không đồng ý
4. Hoàn toàn không đồng ý",Opinion-Dependent,"{'1':'10%','2':'15%','3':'45%','4':'30%'}"
Q32,Làm nội trợ cũng giống như việc đi làm mà được trả tiền.,"['Hoàn toàn đồng ý', 'Đồng ý', 'Không đồng ý', 'Hoàn toàn không đồng ý']","['1', '2', '3', '4']","1. Hoàn toàn đồng ý
2. Đồng ý
3. Không đồng ý
4. Hoàn toàn không đồng ý",Opinion-Dependent,"{'1':'25.00%','2':'35.00%','3':'25.00%','4':'15.00%'}"
