id,question,choices,choice_keys,answer,type,response
Q1,Quão importante é a família em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '75.21%', '2': '18.79%', '3': '5.26%', '4': '0.74%'}"
Q2,Quão importantes são os amigos em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '45.6%', '2': '32.1%', '3': '14.3%', '4': '7.9%'}"
Q3,Quão importante é o tempo livre em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '55.6%', '2': '34.4%', '3': '5.5%', '4': '4.5%'}"
Q4,Quão importante é a política em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '20.00%', '2': '30.00%', '3': '35.00%', '4': '15.00%'}"
Q5,Quão importante é o trabalho em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '45.6%', '2': '32.1%', '3': '14.3%', '4': '7.9%'}"
Q6,Quão importante é a religião em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '25.0%', '2': '30.0%', '3': '25.0%', '4': '20.0%'}"
Q18,O(a) Sr.(a) mencionaria viciados em drogas como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '60.00%', '2': '40.00%'}"
Q19,O(a) Sr.(a) mencionaria pessoas de outras raças como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q20,O(a) Sr.(a) mencionaria pessoas com AIDS como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '45.6%', '2': '54.4%'}"
Q21,O(a) Sr.(a) mencionaria trabalhadores imigrantes ou estrangeiros como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '45.6%', '2': '54.4%'}"
