id,question,choices,choice_keys,answer,type,response
Q1,Quão importante é a família em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '78.45%', '2': '18.32%', '3': '2.67%', '4': '0.56%'}"
Q2,Quão importantes são os amigos em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '65.42%', '2': '28.15%', '3': '4.73%', '4': '1.70%'}"
Q3,Quão importante é o tempo livre em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '45.23%', '2': '38.67%', '3': '12.45%', '4': '3.65%'}"
Q4,Quão importante é a política em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '25.45%', '2': '40.32%', '3': '22.18%', '4': '12.05%'}"
Q5,Quão importante é o trabalho em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '45.23%', '2': '38.76%', '3': '12.45%', '4': '3.56%'}"
Q6,Quão importante é a religião em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1': '45.23%', '2': '32.67%', '3': '15.89%', '4': '6.21%'}"
Q18,O(a) Sr.(a) mencionaria viciados em drogas como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '65.42%', '2': '34.58%'}"
Q19,O(a) Sr.(a) mencionaria pessoas de outras raças como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '15.42%', '2': '84.58%'}"
Q20,O(a) Sr.(a) mencionaria pessoas com AIDS como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '15.42%', '2': '84.58%'}"
Q21,O(a) Sr.(a) mencionaria trabalhadores imigrantes ou estrangeiros como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '15.42%', '2': '84.58%'}"
Q22,O(a) Sr.(a) mencionaria homossexuais como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '15.42%', '2': '84.58%'}"
Q23,O(a) Sr.(a) mencionaria pessoas de outras religiões como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1': '15.42%', '2': '84.58%'}"
