id,question,choices,choice_keys,answer,type,response
Q1,Quão importante é a família em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'90.50%','2':'8.50%','3':'0.70%','4':'0.30%'}"
Q2,Quão importantes são os amigos em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'75.00%','2':'22.00%','3':'2.50%','4':'0.50%'}"
Q3,Quão importante é o tempo livre em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'45.00%','2':'40.00%','3':'12.00%','4':'3.00%'}"
Q4,Quão importante é a política em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'15.20%','2':'35.60%','3':'32.80%','4':'16.40%'}"
Q5,Quão importante é o trabalho em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'60.70%','2':'33.30%','3':'5.10%','4':'0.90%'}"
Q6,Quão importante é a religião em sua vida?,"['Muito importante', 'Importante', 'Pouco importante', 'Não é importante']","['1', '2', '3', '4']","1. Muito importante
2. Importante
3. Pouco importante
4. Não é importante",Opinion-Dependent,"{'1':'62.34%','2':'26.19%','3':'8.47%','4':'3.00%'}"
Q18,O(a) Sr.(a) mencionaria viciados em drogas como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'82.50%','2':'17.50%'}"
Q19,O(a) Sr.(a) mencionaria pessoas de outras raças como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'3.60%','2':'96.40%'}"
Q20,O(a) Sr.(a) mencionaria pessoas com AIDS como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'22.00%','2':'78.00%'}"
Q21,O(a) Sr.(a) mencionaria trabalhadores imigrantes ou estrangeiros como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'34.11%','2':'65.89%'}"
Q22,O(a) Sr.(a) mencionaria homossexuais como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'24.00%','2':'76.00%'}"
Q23,O(a) Sr.(a) mencionaria pessoas de outras religiões como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'20.00%','2':'80.00%'}"
Q24,O(a) Sr.(a) mencionaria pessoas que bebem demais como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'62.35%','2':'37.65%'}"
Q25,"O(a) Sr.(a) mencionaria casais que não são casados, mas moram juntos, como pessoas que não gostaria de ter como vizinhos?","['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'14.50%','2':'85.50%'}"
Q26,O(a) Sr.(a) mencionaria pessoas que falam uma língua diferente como pessoas que não gostaria de ter como vizinhos?,"['Mencionado', 'Não mencionado']","['1', '2']","1. Mencionado
2. Não mencionado",Opinion-Dependent,"{'1':'17.50%','2':'82.50%'}"
Q27,"Um dos meus principais objetivos na vida é fazer meus pais se orgulharem de mim. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'35.00%','2':'50.00%','3':'12.00%','4':'3.00%'}"
Q28,"Quando a mãe tem um trabalho remunerado, as crianças sofrem. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'8.50%','2':'22.50%','3':'40.00%','4':'29.00%'}"
Q29,"De modo geral, os homens são melhores líderes políticos do que as mulheres. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'4.00%','2':'10.00%','3':'40.00%','4':'46.00%'}"
Q30,"Fazer faculdade é mais importante para os homens do que para as mulheres. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'3.80%','2':'8.80%','3':'39.00%','4':'48.40%'}"
Q31,"De modo geral, os homens fazem negócios melhor do que as mulheres. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'8.00%','2':'22.00%','3':'42.00%','4':'28.00%'}"
Q32,"Ser dona de casa traz tanta realização quanto trabalhar fora e ganhar salário. O(a) Sr.(a) concorda totalmente, concorda, discorda ou discorda totalmente?","['Concorda totalmente', 'Concorda', 'Discorda', 'Discorda totalmente']","['1', '2', '3', '4']","1. Concorda totalmente
2. Concorda
3. Discorda
4. Discorda totalmente",Opinion-Dependent,"{'1':'20.00%','2':'48.00%','3':'20.00%','4':'12.00%'}"
Q33,"Quando há poucos empregos, os homens devem ter mais direito a um emprego do que as mulheres?","['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'5.00%','2':'12.00%','3':'18.00%','4':'40.00%','5':'25.00%'}"
Q34,"Quando há poucos empregos, os empregadores deveriam dar mais prioridade aos brasileiros do que aos estrangeiros?","['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'20.00%','2':'45.00%','3':'20.00%','4':'10.00%','5':'5.00%'}"
Q35,"Se a mulher ganha mais dinheiro que o seu marido, é quase certo que isso causará problemas?","['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'8.00%','2':'25.00%','3':'30.00%','4':'28.00%','5':'9.00%'}"
Q36,Casais homossexuais podem ser pais tão bons quanto outros casais?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'31.00%','2':'28.00%','3':'14.00%','4':'15.00%','5':'12.00%'}"
Q37,Ter filhos é um dever que temos para com a sociedade?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1': '4.50%', '2': '42.30%', '3': '24.80%', '4': '23.90%', '5': '4.50%'}"
Q38,Filhos adultos têm o dever de oferecer cuidado aos seus pais por longo tempo?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'35.00%','2':'55.00%','3':'7.00%','4':'2.00%','5':'1.00%'}"
Q39,As pessoas que não trabalham ficam preguiçosas?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'15.00%','2':'40.00%','3':'15.00%','4':'20.00%','5':'10.00%'}"
Q40,Trabalhar é uma obrigação para com a sociedade?,"['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'0.00%','2':'61.76%','3':'14.95%','4':'23.29%','5':'0.00%'}"
Q41,"O trabalho deve vir sempre em primeiro lugar, mesmo que isso signifique menos tempo livre?","['Concordo plenamente', 'Concordo', 'Nem concorda nem discorda', 'Discordo', 'Discordo plenamente']","['1', '2', '3', '4', '5']","1. Concordo plenamente
2. Concordo
3. Nem concorda nem discorda
4. Discordo
5. Discordo plenamente",Opinion-Dependent,"{'1':'5.00%','2':'35.00%','3':'25.00%','4':'30.00%','5':'5.00%'}"
Q42,Qual das seguintes afirmações descreve melhor sua opinião sobre a sociedade em que vivemos?,"['A organização de nossa sociedade deve ser mudada radicalmente por meio de uma revolução.', 'Nossa sociedade deve ser melhorada aos poucos por meio de reformas.', 'Nossa sociedade atual deve ser defendida de maneira corajosa contra todas as forças revolucionárias.']","['1', '2', '3']","1. A organização de nossa sociedade deve ser mudada radicalmente por meio de uma revolução.
2. Nossa sociedade deve ser melhorada aos poucos por meio de reformas.
3. Nossa sociedade atual deve ser defendida de maneira corajosa contra todas as forças revolucionárias.",Opinion-Dependent,"{'1':'10.00%','2':'70.00%','3':'20.00%'}"
Q43,"Se o trabalho passasse a ser menos importante em nossas vidas, o(a) Sr.(a) acharia isso…?","['Bom', 'Nenhum dos dois', 'Ruim']","['1', '2', '3']","1. Bom
2. Nenhum dos dois
3. Ruim",Opinion-Dependent,"{'1':'23.29%','2':'14.95%','3':'61.76%'}"
Q44,"Se houvesse mais importância ao desenvolvimento da tecnologia, o(a) Sr.(a) acharia isso…?","['Bom', 'Nenhum dos dois', 'Ruim']","['1', '2', '3']","1. Bom
2. Nenhum dos dois
3. Ruim",Opinion-Dependent,"{'1':'65.00%','2':'25.00%','3':'10.00%'}"
Q45,"Se houvesse mais respeito pelas autoridades, o(a) Sr.(a) acharia isso…?","['Bom', 'Nenhum dos dois', 'Ruim']","['1', '2', '3']","1. Bom
2. Nenhum dos dois
3. Ruim",Opinion-Dependent,"{'1':'60.00%','2':'30.00%','3':'10.00%'}"
Q46,"Em geral, o(a) Sr.(a) se considera uma pessoa…?","['Muito feliz', 'Feliz', 'Não muito feliz', 'Infeliz']","['1', '2', '3', '4']","1. Muito feliz
2. Feliz
3. Não muito feliz
4. Infeliz",Opinion-Dependent,"{'1':'25.00%','2':'55.00%','3':'16.00%','4':'4.00%'}"
Q48,"Usando uma escala de 1 a 10, quanta liberdade de escolha e controle o(a) Sr.(a) acha que tem sobre o que acontece em sua vida, onde 1 significa ""nenhuma liberdade de escolha"" e 10 significa ""total liberdade de escolha""?","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",Opinion-Dependent,"{'1':'2.00%','2':'3.00%','3':'5.00%','4':'8.00%','5':'15.00%','6':'20.00%','7':'25.00%','8':'14.00%','9':'5.00%','10':'3.00%'}"
Q57,"De modo geral, o(a) Sr.(a) diria que pode confiar na maioria das pessoas ou é preciso ser muito cuidadoso com elas?","['A maioria das pessoas são de confiança.', 'É preciso ser muito cuidadoso.']","['1', '2']","1. A maioria das pessoas são de confiança.
2. É preciso ser muito cuidadoso.",Opinion-Dependent,"{'1':'30.00%','2':'70.00%'}"
Q58,Quanta confiança o(a) Sr.(a) tem em sua família?,"['Confia totalmente', 'Confia em parte', 'Confia pouco', 'Não confia']","['1', '2', '3', '4']","1. Confia totalmente
2. Confia em parte
3. Confia pouco
4. Não confia",Opinion-Dependent,"{'1':'78.24%','2':'17.53%','3':'2.91%','4':'1.32%'}"
