id,question,choices,choice_keys,answer,type,response
Q1,¿Qué importancia tiene la familia en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '65.43%', '2': '27.12%', '3': '5.34%', '4': '2.11%'}"
Q2,¿Qué importancia tienen los amigos en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '45.20%', '2': '40.50%', '3': '10.30%', '4': '4.00%'}"
Q3,¿Qué importancia tiene el tiempo libre en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '30.25%', '2': '45.75%', '3': '18.50%', '4': '5.50%'}"
Q4,¿Qué importancia tiene la política en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '25.45%', '2': '38.55%', '3': '22.35%', '4': '13.65%'}"
Q5,¿Qué importancia tiene el trabajo en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '45.20%', '2': '38.50%', '3': '12.30%', '4': '4.00%'}"
Q6,¿Qué importancia tiene la religión en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '25.45%', '2': '34.55%', '3': '22.00%', '4': '18.00%'}"
Q18,¿Preferiría usted NO tener como vecinos a drogadictos?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '72.41%', '2': '27.59%'}"
Q19,¿Preferiría usted NO tener como vecinos a gente de otra raza?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q20,¿Preferiría usted NO tener como vecinos a personas que tengan SIDA?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q21,¿Preferiría usted NO tener como vecinos a trabajadores inmigrantes/extranjeros?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q22,¿Preferiría usted NO tener como vecinos a homosexuales?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q23,¿Preferiría usted NO tener como vecinos a personas de otra religión?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q24,¿Preferiría usted NO tener como vecinos a gente adicta a la bebida alcohólica?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '78.45%', '2': '21.55%'}"
Q25,¿Preferiría usted NO tener como vecinos a parejas no casadas que viven juntos?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
