id,question,choices,choice_keys,answer,type,response
Q1,您觉得家庭在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '82.45%', '2': '15.12%', '3': '2.03%', '4': '0.40%'}"
Q2,您觉得朋友在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '70.21%', '2': '25.34%', '3': '3.92%', '4': '0.53%'}"
Q3,您觉得休闲时间在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '45.20%', '2': '40.50%', '3': '12.10%', '4': '2.20%'}"
Q4,您觉得政治在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '20.50%', '2': '45.30%', '3': '25.10%', '4': '9.10%'}"
Q5,您觉得工作在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '45.20%', '2': '40.50%', '3': '12.10%', '4': '2.20%'}"
Q6,您觉得宗教在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '15.23%', '2': '34.56%', '3': '36.78%', '4': '13.43%'}"
Q18,您是否不愿和吸毒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '85.20%', '2': '14.80%'}"
Q19,您是否不愿和不同种族/民族的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '5.23%', '2': '94.77%'}"
Q20,您是否不愿和艾滋病患者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '23.57%', '2': '76.43%'}"
Q21,您是否不愿和外国移民/来华工作的外国人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '23.57%', '2': '76.43%'}"
Q22,您是否不愿和同性恋者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '23.57%', '2': '76.43%'}"
Q23,您是否不愿和不同宗教信仰的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q24,您是否不愿和酗酒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '72.50%', '2': '27.50%'}"
Q25,您是否不愿和未婚同居的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '23.57%', '2': '76.43%'}"
Q26,您是否不愿和讲不同方言的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q27,您是否同意“我生活的主要目标是使父母感到骄傲”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '25.43%', '2': '43.57%', '3': '22.14%', '4': '8.86%'}"
Q28,您是否同意“如果母亲需要挣钱养家而出门上班，孩子的成长会受到影响”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '15.23%', '2': '34.57%', '3': '32.12%', '4': '18.08%'}"
Q29,您是否同意“总体来看，男性比女性更适合做政治领袖”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '5.23%', '2': '14.57%', '3': '38.12%', '4': '42.08%'}"
Q30,您是否同意“与女孩相比，大学教育对男孩更重要”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '5.20%', '2': '12.30%', '3': '38.50%', '4': '44.00%'}"
Q31,您是否同意“总的来说，男人比女人能够成为更好的公司管理者”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '5.23%', '2': '13.47%', '3': '38.65%', '4': '42.65%'}"
Q32,您是否同意“女人专职做家庭主妇与出去工作同样可以成就自己”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '25.64%', '2': '47.37%', '3': '20.51%', '4': '6.48%'}"
Q33,您是否同意“当就业机会少时，男人应该比女人更有权力工作”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '5.23%', '2': '12.45%', '3': '15.32%', '4': '34.10%', '5': '32.90%'}"
Q34,您是否同意“在我国，当就业机会少时，雇主应优先考虑中国人而非外国移民”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '25.43%', '2': '38.12%', '3': '12.34%', '4': '15.67%', '5': '8.44%'}"
Q35,您是否同意“如果家庭中妻子挣钱比丈夫多，那将出现问题”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '5.23%', '2': '13.45%', '3': '12.89%', '4': '34.78%', '5': '33.65%'}"
Q36,您是否同意“同性恋伴侣能成为好的家长”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '12.30%', '2': '34.50%', '3': '23.20%', '4': '20.00%', '5': '10.00%'}"
Q37,您是否同意“生儿育女是对社会的一项责任”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '20.50%', '2': '35.70%', '3': '15.30%', '4': '18.50%', '5': '10.00%'}"
Q38,您是否同意“子女有责任赡养父母”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '45.28%', '2': '40.12%', '3': '7.54%', '4': '4.83%', '5': '2.23%'}"
Q39,您是否同意“一个人如果不工作就会变得懒惰”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '25.30%', '2': '42.10%', '3': '15.20%', '4': '10.50%', '5': '6.90%'}"
Q40,您是否同意“工作是对社会的一项责任”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '25.43%', '2': '48.57%', '3': '12.00%', '4': '8.57%', '5': '5.43%'}"
Q41,您是否同意“即使意味着只有很少的闲暇时间，工作还是最重要的”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '15.23%', '2': '34.56%', '3': '18.79%', '4': '21.42%', '5': '10.00%'}"
Q42,以下卡片上有3种关于社会的看法，哪一项最能体现您的观点？,"['整个社会应该通过革命的方式进行激进的变革', '整个社会应该通过改革实现渐进的变革', '整个社会应该抵御任何颠覆性的变革']","['1', '2', '3']","1. 整个社会应该通过革命的方式进行激进的变革
2. 整个社会应该通过改革实现渐进的变革
3. 整个社会应该抵御任何颠覆性的变革",Opinion-Dependent,"{'1': '10.23%', '2': '79.54%', '3': '10.23%'}"
Q43,您认为“工作在我们的生活中变得较不重要”这一变化是好事、无所谓还是坏事？,"['好事', '无所谓', '坏事']","['1', '2', '3']","1. 好事
2. 无所谓
3. 坏事",Opinion-Dependent,"{'1': '20.50%', '2': '45.00%', '3': '34.50%'}"
Q44,您认为“更加注重技术发展”这一变化是好事、无所谓还是坏事？,"['好事', '无所谓', '坏事']","['1', '2', '3']","1. 好事
2. 无所谓
3. 坏事",Opinion-Dependent,"{'1': '45.23%', '2': '34.56%', '3': '20.21%'}"
Q45,您认为“更加尊重权威”这一变化是好事、无所谓还是坏事？,"['好事', '无所谓', '坏事']","['1', '2', '3']","1. 好事
2. 无所谓
3. 坏事",Opinion-Dependent,"{'1': '35.29%', '2': '34.71%', '3': '30.00%'}"
Q46,将所有的情况都考虑进去，目前您生活得愉快吗？,"['很愉快', '比较愉快', '不太愉快', '一点都不愉快']","['1', '2', '3', '4']","1. 很愉快
2. 比较愉快
3. 不太愉快
4. 一点都不愉快",Opinion-Dependent,"{'1': '25.62%', '2': '58.37%', '3': '12.59%', '4': '3.42%'}"
Q48,您觉得您在多大程度上可以选择和掌握自己的生活？1表示根本无法掌握，10表示完全可以掌握。,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",Opinion-Dependent,"{'1': '3.20%', '2': '4.50%', '3': '6.80%', '4': '8.10%', '5': '12.40%', '6': '15.20%', '7': '17.30%', '8': '14.50%', '9': '10.10%', '10': '8.80%'}"
Q57,一般来说，您认为大多数人是可以信任的，还是和人相处要越小心越好？,"['大多数人是可以相信的', '要越小心越好']","['1', '2']","1. 大多数人是可以相信的
2. 要越小心越好",Opinion-Dependent,"{'1': '45.23%', '2': '54.77%'}"
Q58,您对家人的信任程度如何？,"['非常信任', '比较信任', '不太信任', '完全不信任']","['1', '2', '3', '4']","1. 非常信任
2. 比较信任
3. 不太信任
4. 完全不信任",Opinion-Dependent,"{'1': '85.21%', '2': '12.34%', '3': '2.12%', '4': '0.33%'}"
Q59,您对邻居的信任程度如何？,"['非常信任', '比较信任', '不太信任', '完全不信任']","['1', '2', '3', '4']","1. 非常信任
2. 比较信任
3. 不太信任
4. 完全不信任",Opinion-Dependent,"{'1': '15.23%', '2': '70.56%', '3': '12.89%', '4': '1.32%'}"
Q60,您对熟人（同事、朋友）的信任程度如何？,"['非常信任', '比较信任', '不太信任', '完全不信任']","['1', '2', '3', '4']","1. 非常信任
2. 比较信任
3. 不太信任
4. 完全不信任",Opinion-Dependent,"{'1': '13.79%', '2': '74.38%', '3': '11.40%', '4': '0.43%'}"
