id,question,choices,choice_keys,answer,type,response
Q1,Wie wichtig ist Ihnen Familie in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '52%', '2': '38%', '3': '8%', '4': '2%'}"
Q2,Wie wichtig sind Ihnen Freunde in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '38%', '2': '52%', '3': '8%', '4': '2%'}"
Q3,Wie wichtig ist Ihnen Freizeit in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '38%', '2': '45%', '3': '12%', '4': '5%'}"
Q4,Wie wichtig ist Ihnen Politik in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '38%', '2': '45%', '3': '12%', '4': '5%'}"
Q5,Wie wichtig ist Ihnen Arbeit in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{
    '1': '38%',
    '2': '45%',
    '3': '12%',
    '4': '5%'
}"
Q6,Wie wichtig ist Ihnen Religion in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '38%', '2': '42%', '3': '15%', '4': '5%'}"
Q18,Würden Sie Drogenabhängige ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{
    '1': '71.25%',
    '2': '28.75%'
}"
Q19,Würden Sie Menschen anderer Hautfarbe ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{
    '1': '8.21%',
    '2': '91.79%'
}"
Q20,Würden Sie Menschen mit AIDS ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{
    '1': '15.20%',
    '2': '84.80%'
}"
Q21,Würden Sie Ausländer/ausländische Arbeitskräfte ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{
    '1': '15.20%',
    '2': '84.80%'
}"
Q22,Würden Sie Homosexuelle ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{
    '1': '8.21%',
    '2': '91.79%'
}"
Q23,Würden Sie Menschen anderer Religion ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{
    '1': '15%',
    '2': '85%'
}"
Q24,"Würden Sie Leute, die oft betrunken sind, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '78%', '2': '22%'}"
Q25,"Würden Sie unverheiratete Paare, die zusammenleben, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{
    '1': '15%',
    '2': '85%'
}"
