id,question,choices,choice_keys,answer,type,response
Q1,Wie wichtig ist Ihnen Familie in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '70.00%', '2': '25.00%', '3': '4.00%', '4': '1.00%'}"
Q2,Wie wichtig sind Ihnen Freunde in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '60.25%', '2': '35.50%', '3': '3.75%', '4': '0.50%'}"
Q3,Wie wichtig ist Ihnen Freizeit in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '45.32%', '2': '50.21%', '3': '3.97%', '4': '0.50%'}"
Q4,Wie wichtig ist Ihnen Politik in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '20.00%', '2': '50.00%', '3': '20.00%', '4': '10.00%'}"
Q5,Wie wichtig ist Ihnen Arbeit in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '40.00%', '2': '50.00%', '3': '7.00%', '4': '3.00%'}"
Q6,Wie wichtig ist Ihnen Religion in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '20.00%', '2': '30.00%', '3': '25.00%', '4': '25.00%'}"
Q18,Würden Sie Drogenabhängige ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '68.25%', '2': '31.75%'}"
Q19,Würden Sie Menschen anderer Hautfarbe ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '8.45%', '2': '91.55%'}"
Q20,Würden Sie Menschen mit AIDS ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.32%', '2': '84.68%'}"
Q21,Würden Sie Ausländer/ausländische Arbeitskräfte ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.32%', '2': '84.68%'}"
Q22,Würden Sie Homosexuelle ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '10.50%', '2': '89.50%'}"
Q23,Würden Sie Menschen anderer Religion ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '10.50%', '2': '89.50%'}"
Q24,"Würden Sie Leute, die oft betrunken sind, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '78.45%', '2': '21.55%'}"
Q25,"Würden Sie unverheiratete Paare, die zusammenleben, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.32%', '2': '84.68%'}"
Q26,"Würden Sie Menschen, die eine andere Sprache sprechen, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '8.45%', '2': '91.55%'}"
Q27,"Zu meinen Lebenszielen gehört es, meine Eltern mit Stolz zu erfüllen.","['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '35.20%', '2': '45.60%', '3': '15.10%', '4': '4.10%'}"
Q28,"Wenn eine Mutter einer bezahlten Arbeit nachgeht, dann leiden ihre Kinder darunter.","['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '7.25%', '2': '22.35%', '3': '45.20%', '4': '25.20%'}"
Q29,In politischen Führungspositionen sind Männer allgemein besser als Frauen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '5.00%', '2': '15.00%', '3': '35.00%', '4': '45.00%'}"
Q30,Eine Hochschulausbildung ist für Jungen wichtiger als für Mädchen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '2.50%', '2': '7.50%', '3': '30.00%', '4': '60.00%'}"
Q31,Insgesamt sind Männer bessere Führungskräfte in der Wirtschaft als Frauen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '5.00%', '2': '15.00%', '3': '40.00%', '4': '40.00%'}"
Q32,Eine Hausfrau zu sein ist genauso erfüllend wie eine bezahlte Arbeit.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.23%', '2': '45.67%', '3': '25.10%', '4': '14.00%'}"
Q33,"Wenn die Arbeitsplätze knapp sind, haben Männer eher ein Recht auf Arbeit als Frauen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '4.12%', '2': '7.28%', '3': '8.56%', '4': '30.04%', '5': '50.00%'}"
Q34,"Wenn die Arbeitsplätze knapp sind, sollten die Arbeitgeber Deutsche gegenüber Ausländern vorziehen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.23%', '2': '35.67%', '3': '20.10%', '4': '18.50%', '5': '10.50%'}"
