id,question,choices,choice_keys,answer,type,response
Q1,あなたの生活にとって、家族はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '76.2%', '2': '21.5%', '3': '1.8%', '4': '0.5%'}"
Q2,あなたの生活にとって、友人・知人はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '23.45%', '2': '56.78%', '3': '17.32%', '4': '2.45%'}"
Q3,あなたの生活にとって、余暇時間はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '23.45%', '2': '56.78%', '3': '17.39%', '4': '2.38%'}"
Q4,あなたの生活にとって、政治はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '15.6%', '2': '42.3%', '3': '34.1%', '4': '7.9%'}"
Q5,あなたの生活にとって、仕事はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '23.45%', '2': '56.78%', '3': '17.32%', '4': '2.45%'}"
Q6,あなたの生活にとって、宗教はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '3.21%', '2': '17.65%', '3': '42.36%', '4': '36.78%'}"
Q18,麻薬常用者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '76.2%', '2': '23.8%'}"
Q19,人種の異なる人々が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '15.6%', '2': '84.4%'}"
Q20,エイズ感染者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '45.23%', '2': '54.77%'}"
Q21,移民や外国人労働者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
