id,question,choices,choice_keys,answer,type,response
Q1,あなたの生活にとって、家族はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '70.00%', '2': '25.00%', '3': '4.00%', '4': '1.00%'}"
Q2,あなたの生活にとって、友人・知人はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '45.67%', '2': '48.21%', '3': '5.12%', '4': '1.00%'}"
Q3,あなたの生活にとって、余暇時間はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '35.20%', '2': '50.30%', '3': '12.50%', '4': '2.00%'}"
Q4,あなたの生活にとって、政治はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '25.00%', '2': '50.00%', '3': '20.00%', '4': '5.00%'}"
Q5,あなたの生活にとって、仕事はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '45.67%', '2': '48.21%', '3': '5.32%', '4': '0.80%'}"
Q6,あなたの生活にとって、宗教はどの程度重要ですか？,"['非常に重要', 'やや重要', 'あまり重要ではない', '全く重要ではない']","['1', '2', '3', '4']","1. 非常に重要
2. やや重要
3. あまり重要ではない
4. 全く重要ではない",Opinion-Dependent,"{'1': '16.45%', '2': '34.67%', '3': '29.12%', '4': '19.76%'}"
Q18,麻薬常用者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '85.23%', '2': '14.77%'}"
Q19,人種の異なる人々が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q20,エイズ感染者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '30.00%', '2': '70.00%'}"
Q21,移民や外国人労働者が近所に住んでいることについてどう思いますか？,"['近所に住んでいて欲しくない', '近所に住んでいてもよい']","['1', '2']","1. 近所に住んでいて欲しくない
2. 近所に住んでいてもよい",Opinion-Dependent,"{'1': '30.00%', '2': '70.00%'}"
