id,question,choices,choice_keys,answer,type,response
Q1,선생님의 일상 생활에서 ‘가정’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '75.2%', '2': '18.7%', '3': '5.1%', '4': '1.0%'}"
Q2,선생님의 일상 생활에서 ‘친구’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '23.45%', '2': '46.78%', '3': '21.27%', '4': '7.5%'}"
Q3,선생님의 일상 생활에서 ‘여가생활’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '23.45%', '2': '46.78%', '3': '21.27%', '4': '7.5%'}"
Q4,선생님의 일상 생활에서 ‘정치’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '15.6%', '2': '34.2%', '3': '35.1%', '4': '15.1%'}"
Q5,선생님의 일상 생활에서 ‘직장’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '23.45%', '2': '46.78%', '3': '21.27%', '4': '7.5%'}"
Q6,선생님의 일상 생활에서 ‘종교’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '5.23%', '2': '27.65%', '3': '41.12%', '4': '26.01%'}"
Q18,"다음의 사람들 중에서, 선생님께서는 '마약상습 복용자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '75.2%', '2': '24.8%'}"
Q19,"다음의 사람들 중에서, 선생님께서는 '다른 인종인 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '15.6%', '2': '84.4%'}"
Q20,"다음의 사람들 중에서, 선생님께서는 '에이즈 환자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '75.2%', '2': '24.8%'}"
Q21,"다음의 사람들 중에서, 선생님께서는 '이민자/외국인 노동자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '20%', '2': '80%'}"
Q22,"다음의 사람들 중에서, 선생님께서는 '동성연애자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '15.6%', '2': '84.4%'}"
Q23,"다음의 사람들 중에서, 선생님께서는 '종교가 다른 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '15.62%', '2': '84.38%'}"
Q24,"다음의 사람들 중에서, 선생님께서는 '술을 많이 마시는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '75.2%', '2': '24.8%'}"
Q25,"다음의 사람들 중에서, 선생님께서는 '결혼하지 않고 동거하는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '78.2%', '2': '21.8%'}"
Q26,"다음의 사람들 중에서, 선생님께서는 '다른 언어를 사용하는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '70.2%', '2': '29.8%'}"
Q27,내 인생의 목표 중 하나는 부모님이 나를 자랑스러워하는 것이다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '35.67%', '2': '42.33%', '3': '17.67%', '4': '4.33%'}"
Q29,전반적으로 정치 지도자로는 남성이 여성보다 낫다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '5.2%', '2': '18.7%', '3': '41.1%', '4': '35.1%'}"
Q30,대학 교육은 여성보다 남성에게 더 중요하다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '5.2%', '2': '21.3%', '3': '41.7%', '4': '31.8%'}"
