id,question,choices,choice_keys,answer,type,response
Q1,선생님의 일상 생활에서 ‘가정’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '63.21%', '2': '31.49%', '3': '4.15%', '4': '1.15%'}"
Q2,선생님의 일상 생활에서 ‘친구’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '23.15%', '2': '55.19%', '3': '18.51%', '4': '3.15%'}"
Q3,선생님의 일상 생활에서 ‘여가생활’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '23.15%', '2': '55.19%', '3': '18.51%', '4': '3.15%'}"
Q4,선생님의 일상 생활에서 ‘정치’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '23.15%', '2': '55.19%', '3': '18.51%', '4': '3.15%'}"
Q5,선생님의 일상 생활에서 ‘직장’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '34.21%', '2': '54.17%', '3': '10.62%', '4': '1.00%'}"
Q6,선생님의 일상 생활에서 ‘종교’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '14.29%', '2': '43.75%', '3': '34.52%', '4': '7.44%'}"
Q18,"다음의 사람들 중에서, 선생님께서는 '마약상습 복용자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '83.21%', '2': '16.79%'}"
Q19,"다음의 사람들 중에서, 선생님께서는 '다른 인종인 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '23.15%', '2': '76.85%'}"
Q20,"다음의 사람들 중에서, 선생님께서는 '에이즈 환자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '73.85%', '2': '26.15%'}"
Q21,"다음의 사람들 중에서, 선생님께서는 '이민자/외국인 노동자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '23.15%', '2': '76.85%'}"
Q22,"다음의 사람들 중에서, 선생님께서는 '동성연애자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '63.25%', '2': '36.75%'}"
Q23,"다음의 사람들 중에서, 선생님께서는 '종교가 다른 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '23.15%', '2': '76.85%'}"
Q24,"다음의 사람들 중에서, 선생님께서는 '술을 많이 마시는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '73.21%', '2': '26.79%'}"
Q25,"다음의 사람들 중에서, 선생님께서는 '결혼하지 않고 동거하는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '63.25%', '2': '36.75%'}"
Q26,"다음의 사람들 중에서, 선생님께서는 '다른 언어를 사용하는 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '23.15%', '2': '76.85%'}"
Q27,내 인생의 목표 중 하나는 부모님이 나를 자랑스러워하는 것이다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '23.15%', '2': '55.19%', '3': '18.51%', '4': '3.15%'}"
Q28,"어머니가 일을 하면, 아이들이 어려움을 겪는다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?","['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '15.23%', '2': '43.19%', '3': '34.21%', '4': '7.37%'}"
Q29,전반적으로 정치 지도자로는 남성이 여성보다 낫다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '5.00%', '2': '23.53%', '3': '51.47%', '4': '20.00%'}"
Q30,대학 교육은 여성보다 남성에게 더 중요하다. 이 의견에 대해 선생님께서는 어떻게 생각하십니까?,"['전적으로 찬성', '찬성', '반대', '전적으로 반대']","['1', '2', '3', '4']","1. 전적으로 찬성
2. 찬성
3. 반대
4. 전적으로 반대",Opinion-Dependent,"{'1': '3.21%', '2': '14.56%', '3': '55.19%', '4': '27.04%'}"
