id,question,choices,choice_keys,answer,type,response
Q1,Насколько важна в Вашей жизни семья?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '65.43%', '2': '24.17%', '3': '8.24%', '4': '2.16%'}"
Q2,Насколько важны в Вашей жизни друзья?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '35.42%', '2': '45.18%', '3': '15.23%', '4': '4.17%'}"
Q3,Насколько важно в Вашей жизни свободное время?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '35.42%', '2': '42.18%', '3': '18.75%', '4': '3.65%'}"
Q4,Насколько важна в Вашей жизни политика?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '20.45%', '2': '34.78%', '3': '27.17%', '4': '17.59%'}"
Q5,Насколько важна в Вашей жизни работа?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '35.42%', '2': '42.18%', '3': '18.75%', '4': '3.65%'}"
Q6,Насколько важна в Вашей жизни религия?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '22.45%', '2': '33.55%', '3': '25.61%', '4': '18.39%'}"
Q18,"Назвали бы Вы наркоманов среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '72.41%', '2': '27.59%'}"
Q19,"Назвали бы Вы людей другой расы среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q20,"Назвали бы Вы больных СПИДом среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '27.45%', '2': '72.55%'}"
Q21,"Назвали бы Вы иммигрантов/иностранных рабочих среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '27.45%', '2': '72.55%'}"
Q22,"Назвали бы Вы гомосексуалистов среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '22.45%', '2': '77.55%'}"
Q23,"Назвали бы Вы людей другой религии среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q24,"Назвали бы Вы алкоголиков среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '32.45%', '2': '67.55%'}"
Q25,"Назвали бы Вы пары, живущие в гражданском браке, среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '22.45%', '2': '77.55%'}"
Q26,"Назвали бы Вы людей, разговаривающих на другом языке, среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '15.23%', '2': '84.77%'}"
Q27,Вы согласны с утверждением: «Для меня одна из самых важных целей в жизни — чтобы родители мной гордились»?,"['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1': '25.43%', '2': '38.17%', '3': '23.54%', '4': '12.86%'}"
Q28,"Вы согласны с утверждением: «Когда мать работает на оплачиваемой работе, это плохо сказывается на детях»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1': '12.34%', '2': '23.67%', '3': '34.56%', '4': '29.43%'}"
Q29,"Вы согласны с утверждением: «В целом мужчины становятся лучшими политическими лидерами, чем женщины»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1': '12.34%', '2': '23.67%', '3': '34.56%', '4': '29.43%'}"
Q30,"Вы согласны с утверждением: «Высшее образование важнее для мальчика, чем для девочки»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1': '5.23%', '2': '12.45%', '3': '38.12%', '4': '44.20%'}"
Q31,"Вы согласны с утверждением: «В целом мужчины становятся лучшими руководителями предприятий, чем женщины»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1': '12.34%', '2': '23.67%', '3': '34.56%', '4': '29.43%'}"
Q32,"Вы согласны с утверждением: «Быть домашней хозяйкой — такой же способ реализовать себя, как и работать за деньги»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1': '15.23%', '2': '34.56%', '3': '30.12%', '4': '20.09%'}"
