id,question,choices,choice_keys,answer,type,response
Q1,Насколько важна в Вашей жизни семья?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '65.42%', '2': '28.15%', '3': '4.73%', '4': '1.70%'}"
Q2,Насколько важны в Вашей жизни друзья?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '45.23%', '2': '38.76%', '3': '12.34%', '4': '3.67%'}"
Q3,Насколько важно в Вашей жизни свободное время?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '45.23%', '2': '38.76%', '3': '12.34%', '4': '3.67%'}"
Q4,Насколько важна в Вашей жизни политика?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '18.45%', '2': '32.67%', '3': '35.21%', '4': '13.67%'}"
Q5,Насколько важна в Вашей жизни работа?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '45.23%', '2': '38.76%', '3': '12.34%', '4': '3.67%'}"
Q6,Насколько важна в Вашей жизни религия?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '18.45%', '2': '27.63%', '3': '32.14%', '4': '21.78%'}"
Q18,"Назвали бы Вы наркоманов среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '68.42%', '2': '31.58%'}"
Q19,"Назвали бы Вы людей другой расы среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '12.34%', '2': '87.66%'}"
Q20,"Назвали бы Вы больных СПИДом среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '42.15%', '2': '57.85%'}"
Q21,"Назвали бы Вы иммигрантов/иностранных рабочих среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '42.15%', '2': '57.85%'}"
Q22,"Назвали бы Вы гомосексуалистов среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '42.15%', '2': '57.85%'}"
Q23,"Назвали бы Вы людей другой религии среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '18.42%', '2': '81.58%'}"
Q24,"Назвали бы Вы алкоголиков среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '68.42%', '2': '31.58%'}"
Q25,"Назвали бы Вы пары, живущие в гражданском браке, среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '32.45%', '2': '67.55%'}"
Q26,"Назвали бы Вы людей, разговаривающих на другом языке, среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '18.45%', '2': '81.55%'}"
Q27,Вы согласны с утверждением: «Для меня одна из самых важных целей в жизни — чтобы родители мной гордились»?,"['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1': '35.42%', '2': '42.18%', '3': '16.37%', '4': '6.03%'}"
Q28,"Вы согласны с утверждением: «Когда мать работает на оплачиваемой работе, это плохо сказывается на детях»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1': '12.45%', '2': '23.67%', '3': '45.89%', '4': '17.99%'}"
