id,question,choices,choice_keys,answer,type,response
Q1,¿Qué importancia tiene la familia en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1':'84.80%','2':'13.60%','3':'1.30%','4':'0.30%'}"
Q2,¿Qué importancia tienen los amigos en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1':'52.75%','2':'38.90%','3':'6.80%','4':'1.55%'}"
Q3,¿Qué importancia tiene el tiempo libre en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1':'48.30%','2':'40.20%','3':'9.80%','4':'1.70%'}"
Q4,¿Qué importancia tiene la política en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1':'20.50%','2':'55.25%','3':'18.75%','4':'5.50%'}"
Q5,¿Qué importancia tiene el trabajo en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1':'58.40%','2':'35.25%','3':'5.10%','4':'1.25%'}"
Q6,¿Qué importancia tiene la religión en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1':'13.60%','2':'26.80%','3':'34.50%','4':'25.10%'}"
Q18,¿Preferiría usted NO tener como vecinos a drogadictos?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1':'65.10%','2':'34.90%'}"
Q19,¿Preferiría usted NO tener como vecinos a gente de otra raza?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1':'10.25%','2':'89.75%'}"
Q20,¿Preferiría usted NO tener como vecinos a personas que tengan SIDA?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1':'25.90%','2':'74.10%'}"
Q21,¿Preferiría usted NO tener como vecinos a trabajadores inmigrantes/extranjeros?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1':'14.70%','2':'85.30%'}"
