id,question,choices,choice_keys,answer,type,response
Q1,Gia đình quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '75.2%', '2': '18.3%', '3': '5.8%', '4': '0.7%'}"
Q2,Bạn bè quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '45.67%', '2': '37.5%', '3': '12.5%', '4': '4.33%'}"
Q3,Thời gian giải trí quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '25.67%', '2': '52.33%', '3': '18.67%', '4': '3.33%'}"
Q4,Chính trị quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '15.62%', '2': '34.38%', '3': '35.25%', '4': '14.75%'}"
Q5,Việc làm quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '25.79%', '2': '52.63%', '3': '18.52%', '4': '3.06%'}"
Q6,Tôn giáo quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '15.62%', '2': '34.38%', '3': '35.25%', '4': '14.75%'}"
Q18,Anh/chị có mong muốn người nghiện ma túy sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '75.2%', '2': '24.8%'}"
Q19,Anh/chị có mong muốn những người thuộc các chủng tộc khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '20%', '2': '80%'}"
Q20,Anh/chị có mong muốn người bị AIDS sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '75.2%', '2': '24.8%'}"
Q21,Anh/chị có mong muốn người nhập cư/lao động nước ngoài sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '45.67%', '2': '54.33%'}"
Q22,Anh/chị có mong muốn người đồng tính sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '45.67%', '2': '54.33%'}"
Q23,Anh/chị có mong muốn người theo tôn giáo khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '45.67%', '2': '54.33%'}"
Q24,Anh/chị có mong muốn người nghiện rượu nặng sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '75.2%', '2': '24.8%'}"
Q25,Anh/chị có mong muốn các cặp đôi chưa kết hôn sống cùng nhau trong cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '45.67%', '2': '54.33%'}"
Q26,Anh/chị có mong muốn những người nói các ngôn ngữ khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '40%', '2': '60%'}"
