id,question,choices,choice_keys,answer,type,response
Q1,Gia đình quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '78.25%', '2': '19.50%', '3': '1.75%', '4': '0.50%'}"
Q2,Bạn bè quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '45.25%', '2': '48.75%', '3': '5.25%', '4': '0.75%'}"
Q3,Thời gian giải trí quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '35.25%', '2': '50.75%', '3': '12.50%', '4': '1.50%'}"
Q4,Chính trị quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '15.25%', '2': '45.75%', '3': '30.50%', '4': '8.50%'}"
Q5,Việc làm quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '45.25%', '2': '48.75%', '3': '5.00%', '4': '1.00%'}"
Q6,Tôn giáo quan trọng như thế nào trong cuộc sống của anh/chị?,"['Rất quan trọng', 'Khá quan trọng', 'Không quá quan trọng', 'Hoàn toàn không quan trọng']","['1', '2', '3', '4']","1. Rất quan trọng
2. Khá quan trọng
3. Không quá quan trọng
4. Hoàn toàn không quan trọng",Opinion-Dependent,"{'1': '35.25%', '2': '45.75%', '3': '15.25%', '4': '3.75%'}"
Q18,Anh/chị có mong muốn người nghiện ma túy sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '85.75%', '2': '14.25%'}"
Q19,Anh/chị có mong muốn những người thuộc các chủng tộc khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '15.25%', '2': '84.75%'}"
Q20,Anh/chị có mong muốn người bị AIDS sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '65.75%', '2': '34.25%'}"
Q21,Anh/chị có mong muốn người nhập cư/lao động nước ngoài sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '65.75%', '2': '34.25%'}"
Q22,Anh/chị có mong muốn người đồng tính sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '45.67%', '2': '54.33%'}"
Q23,Anh/chị có mong muốn người theo tôn giáo khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '15.25%', '2': '84.75%'}"
Q24,Anh/chị có mong muốn người nghiện rượu nặng sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '78.33%', '2': '21.67%'}"
Q25,Anh/chị có mong muốn các cặp đôi chưa kết hôn sống cùng nhau trong cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '75.25%', '2': '24.75%'}"
Q26,Anh/chị có mong muốn những người nói các ngôn ngữ khác sống cùng nơi sinh sống/cộng đồng của anh/chị không?,"['Không mong muốn', 'Có mong muốn']","['1', '2']","1. Không mong muốn
2. Có mong muốn",Opinion-Dependent,"{'1': '45.67%', '2': '54.33%'}"
