id,question,choices,choice_keys,answer,type,response
Q1,您觉得家庭在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1':'75.00%','2':'20.00%','3':'4.00%','4':'1.00%'}"
Q2,您觉得朋友在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1':'58.50%','2':'35.00%','3':'5.50%','4':'1.00%'}"
Q3,您觉得休闲时间在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1':'35.00%','2':'45.00%','3':'15.00%','4':'5.00%'}"
Q4,您觉得政治在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1':'35.00%','2':'45.00%','3':'15.00%','4':'5.00%'}"
Q5,您觉得工作在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1':'55.20%','2':'35.80%','3':'7.50%','4':'1.50%'}"
Q6,您觉得宗教在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1':'10.00%','2':'15.00%','3':'45.00%','4':'30.00%'}"
Q18,您是否不愿和吸毒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'85.00%','2':'15.00%'}"
Q19,您是否不愿和不同种族/民族的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'16.5%','2':'83.5%'}"
Q20,您是否不愿和艾滋病患者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'62.50%','2':'37.50%'}"
Q21,您是否不愿和外国移民/来华工作的外国人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'35.00%','2':'65.00%'}"
Q22,您是否不愿和同性恋者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'42.50%','2':'57.50%'}"
Q23,您是否不愿和不同宗教信仰的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'15.00%','2':'85.00%'}"
Q24,您是否不愿和酗酒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'75.00%','2':'25.00%'}"
Q25,您是否不愿和未婚同居的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'35.00%','2':'65.00%'}"
Q26,您是否不愿和讲不同方言的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1':'15.00%','2':'85.00%'}"
Q27,您是否同意“我生活的主要目标是使父母感到骄傲”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1':'38.50%','2':'42.20%','3':'15.30%','4':'4.00%'}"
Q28,您是否同意“如果母亲需要挣钱养家而出门上班，孩子的成长会受到影响”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1':'25.00%','2':'35.00%','3':'30.00%','4':'10.00%'}"
Q29,您是否同意“总体来看，男性比女性更适合做政治领袖”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1':'7.50%','2':'18.50%','3':'42.00%','4':'32.00%'}"
Q30,您是否同意“与女孩相比，大学教育对男孩更重要”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1':'4.50%','2':'11.50%','3':'39.00%','4':'45.00%'}"
Q31,您是否同意“总的来说，男人比女人能够成为更好的公司管理者”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1':'5.00%','2':'15.00%','3':'35.00%','4':'45.00%'}"
Q32,您是否同意“女人专职做家庭主妇与出去工作同样可以成就自己”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1':'25.00%','2':'50.00%','3':'20.00%','4':'5.00%'}"
Q33,您是否同意“当就业机会少时，男人应该比女人更有权力工作”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1':'3.00%','2':'7.00%','3':'10.00%','4':'50.00%','5':'30.00%'}"
Q34,您是否同意“在我国，当就业机会少时，雇主应优先考虑中国人而非外国移民”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Culture-Dependent,"{'1':'42.30%','2':'35.70%','3':'12.00%','4':'6.50%','5':'3.50%'}"
Q35,您是否同意“如果家庭中妻子挣钱比丈夫多，那将出现问题”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1':'10.00%','2':'20.00%','3':'15.00%','4':'35.00%','5':'20.00%'}"
