id,question,choices,choice_keys,answer,type,response
Q1,您觉得家庭在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '60.00%', '2': '35.00%', '3': '4.00%', '4': '1.00%'}"
Q2,您觉得朋友在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '45.00%', '2': '40.00%', '3': '10.00%', '4': '5.00%'}"
Q3,您觉得休闲时间在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '35.00%', '2': '45.00%', '3': '15.00%', '4': '5.00%'}"
Q4,您觉得政治在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '20.00%', '2': '30.00%', '3': '35.00%', '4': '15.00%'}"
Q5,您觉得工作在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '45.00%', '2': '40.00%', '3': '10.00%', '4': '5.00%'}"
Q6,您觉得宗教在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '10.50%', '2': '20.00%', '3': '35.00%', '4': '34.50%'}"
Q18,您是否不愿和吸毒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '90%', '2': '10%'}"
Q19,您是否不愿和不同种族/民族的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q20,您是否不愿和艾滋病患者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '30%', '2': '70%'}"
Q21,您是否不愿和外国移民/来华工作的外国人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '30.00%', '2': '70.00%'}"
Q22,您是否不愿和同性恋者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q23,您是否不愿和不同宗教信仰的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q24,您是否不愿和酗酒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '85.67%', '2': '14.33%'}"
Q25,您是否不愿和未婚同居的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '30%', '2': '70%'}"
Q26,您是否不愿和讲不同方言的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '20.00%', '2': '80.00%'}"
Q27,您是否同意“我生活的主要目标是使父母感到骄傲”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '35%', '2': '45%', '3': '15%', '4': '5%'}"
Q28,您是否同意“如果母亲需要挣钱养家而出门上班，孩子的成长会受到影响”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '20.00%', '2': '40.00%', '3': '30.00%', '4': '10.00%'}"
Q29,您是否同意“总体来看，男性比女性更适合做政治领袖”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '10.00%', '2': '20.00%', '3': '40.00%', '4': '30.00%'}"
Q30,您是否同意“与女孩相比，大学教育对男孩更重要”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '5.00%', '2': '15.00%', '3': '45.00%', '4': '35.00%'}"
Q31,您是否同意“总的来说，男人比女人能够成为更好的公司管理者”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '15.20%', '2': '30.50%', '3': '35.10%', '4': '19.20%'}"
Q32,您是否同意“女人专职做家庭主妇与出去工作同样可以成就自己”这一说法？,"['非常同意', '同意', '不同意', '非常不同意']","['1', '2', '3', '4']","1. 非常同意
2. 同意
3. 不同意
4. 非常不同意",Opinion-Dependent,"{'1': '25.00%', '2': '45.00%', '3': '20.00%', '4': '10.00%'}"
Q33,您是否同意“当就业机会少时，男人应该比女人更有权力工作”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '10.00%', '2': '20.00%', '3': '15.00%', '4': '30.00%', '5': '25.00%'}"
Q34,您是否同意“在我国，当就业机会少时，雇主应优先考虑中国人而非外国移民”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Culture-Dependent,"{'1': '35.20%', '2': '45.10%', '3': '10.30%', '4': '7.20%', '5': '2.20%'}"
Q35,您是否同意“如果家庭中妻子挣钱比丈夫多，那将出现问题”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '10.50%', '2': '20.30%', '3': '15.20%', '4': '30.00%', '5': '24.00%'}"
Q36,您是否同意“同性恋伴侣能成为好的家长”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '15.20%', '2': '25.30%', '3': '20.50%', '4': '25.00%', '5': '14.00%'}"
Q37,您是否同意“生儿育女是对社会的一项责任”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '15.00%', '4': '15.00%', '5': '10.00%'}"
Q38,您是否同意“子女有责任赡养父母”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '60%', '2': '30%', '3': '5%', '4': '3%', '5': '2%'}"
Q39,您是否同意“一个人如果不工作就会变得懒惰”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '15.00%', '4': '20.00%', '5': '5.00%'}"
Q40,您是否同意“工作是对社会的一项责任”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '35%', '2': '45%', '3': '10%', '4': '7%', '5': '3%'}"
Q41,您是否同意“即使意味着只有很少的闲暇时间，工作还是最重要的”这一说法？,"['非常同意', '同意', '不知道', '不同意', '非常不同意']","['1', '2', '3', '4', '5']","1. 非常同意
2. 同意
3. 不知道
4. 不同意
5. 非常不同意",Opinion-Dependent,"{'1': '15.00%', '2': '35.00%', '3': '10.00%', '4': '25.00%', '5': '15.00%'}"
Q42,以下卡片上有3种关于社会的看法，哪一项最能体现您的观点？,"['整个社会应该通过革命的方式进行激进的变革', '整个社会应该通过改革实现渐进的变革', '整个社会应该抵御任何颠覆性的变革']","['1', '2', '3']","1. 整个社会应该通过革命的方式进行激进的变革
2. 整个社会应该通过改革实现渐进的变革
3. 整个社会应该抵御任何颠覆性的变革",Opinion-Dependent,"{'1': '15.23%', '2': '65.12%', '3': '19.65%'}"
Q43,您认为“工作在我们的生活中变得较不重要”这一变化是好事、无所谓还是坏事？,"['好事', '无所谓', '坏事']","['1', '2', '3']","1. 好事
2. 无所谓
3. 坏事",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '40.00%'}"
Q44,您认为“更加注重技术发展”这一变化是好事、无所谓还是坏事？,"['好事', '无所谓', '坏事']","['1', '2', '3']","1. 好事
2. 无所谓
3. 坏事",Opinion-Dependent,"{'1': '70.00%', '2': '25.00%', '3': '5.00%'}"
Q45,您认为“更加尊重权威”这一变化是好事、无所谓还是坏事？,"['好事', '无所谓', '坏事']","['1', '2', '3']","1. 好事
2. 无所谓
3. 坏事",Opinion-Dependent,"{'1': '45.00%', '2': '35.00%', '3': '20.00%'}"
Q48,您觉得您在多大程度上可以选择和掌握自己的生活？1表示根本无法掌握，10表示完全可以掌握。,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",Opinion-Dependent,"{'1': '5.00%', '2': '7.00%', '3': '10.00%', '4': '12.00%', '5': '15.00%', '6': '17.00%', '7': '13.00%', '8': '10.00%', '9': '7.00%', '10': '4.00%'}"
Q50,您对自己家庭的经济状况是否满意？1表示非常不满意，10表示非常满意。,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",Opinion-Dependent,"{'1': '5.00%', '2': '7.00%', '3': '10.00%', '4': '12.00%', '5': '15.00%', '6': '13.00%', '7': '12.00%', '8': '10.00%', '9': '9.00%', '10': '7.00%'}"
Q57,一般来说，您认为大多数人是可以信任的，还是和人相处要越小心越好？,"['大多数人是可以相信的', '要越小心越好']","['1', '2']","1. 大多数人是可以相信的
2. 要越小心越好",Opinion-Dependent,"{'1': '35.00%', '2': '65.00%'}"
Q58,您对家人的信任程度如何？,"['非常信任', '比较信任', '不太信任', '完全不信任']","['1', '2', '3', '4']","1. 非常信任
2. 比较信任
3. 不太信任
4. 完全不信任",Opinion-Dependent,"{'1': '60.00%', '2': '35.00%', '3': '4.00%', '4': '1.00%'}"
Q59,您对邻居的信任程度如何？,"['非常信任', '比较信任', '不太信任', '完全不信任']","['1', '2', '3', '4']","1. 非常信任
2. 比较信任
3. 不太信任
4. 完全不信任",Opinion-Dependent,"{'1': '25.00%', '2': '45.00%', '3': '20.00%', '4': '10.00%'}"
Q61,您对第一次见面的人 的信任程度如何？,"['非常信任', '比较信任', '不太信任', '完全不信任']","['1', '2', '3', '4']","1. 非常信任
2. 比较信任
3. 不太信任
4. 完全不信任",Opinion-Dependent,"{'1': '5.00%', '2': '35.00%', '3': '45.00%', '4': '15.00%'}"
Q62,您对与您宗教信仰不同的人的信任程度如何？,"['非常信任', '比较信任', '不太信任', '完全不信任']","['1', '2', '3', '4']","1. 非常信任
2. 比较信任
3. 不太信任
4. 完全不信任",Opinion-Dependent,"{'1': '20.00%', '2': '40.00%', '3': '25.00%', '4': '15.00%'}"
Q63,您对其他国籍的人的信任程度如何？,"['非常信任', '比较信任', '不太信任', '完全不信任']","['1', '2', '3', '4']","1. 非常信任
2. 比较信任
3. 不太信任
4. 完全不信任",Opinion-Dependent,"{'1': '10.00%', '2': '30.00%', '3': '40.00%', '4': '20.00%'}"
Q64,您对宗教团体的信任程度如何？,"['很信任', '信任', '不太信任', '根本不信任']","['1', '2', '3', '4']","1. 很信任
2. 信任
3. 不太信任
4. 根本不信任",Opinion-Dependent,"{'1': '10.00%', '2': '30.00%', '3': '40.00%', '4': '20.00%'}"
Q65,您对军队的信任程度如何？,"['很信任', '信任', '不太信任', '根本不信任']","['1', '2', '3', '4']","1. 很信任
2. 信任
3. 不太信任
4. 根本不信任",Opinion-Dependent,"{'1': '50.00%', '2': '40.00%', '3': '7.00%', '4': '3.00%'}"
Q66,您对新闻出版业的信任程度如何？,"['很信任', '信任', '不太信任', '根本不信任']","['1', '2', '3', '4']","1. 很信任
2. 信任
3. 不太信任
4. 根本不信任",Opinion-Dependent,"{'1': '20.00%', '2': '40.00%', '3': '25.00%', '4': '15.00%'}"
