id,question,choices,choice_keys,answer,type,response
Q1,您觉得家庭在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '73.42%', '2': '21.19%', '3': '4.39%', '4': '1.00%'}"
Q2,您觉得朋友在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '63.21%', '2': '26.15%', '3': '8.42%', '4': '2.22%'}"
Q3,您觉得休闲时间在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '43.75%', '2': '31.25%', '3': '20.00%', '4': '5.00%'}"
Q4,您觉得政治在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '23.45%', '2': '41.92%', '3': '26.13%', '4': '8.50%'}"
Q5,您觉得工作在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '63.21%', '2': '26.15%', '3': '8.42%', '4': '2.22%'}"
Q6,您觉得宗教在您的生活中是很重要、重要、不太重要还是很不重要？,"['很重要', '重要', '不太重要', '很不重要']","['1', '2', '3', '4']","1. 很重要
2. 重要
3. 不太重要
4. 很不重要",Opinion-Dependent,"{'1': '12.85%', '2': '23.17%', '3': '41.92%', '4': '22.06%'}"
Q18,您是否不愿和吸毒者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '83.21%', '2': '16.79%'}"
Q19,您是否不愿和不同种族/民族的人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
Q20,您是否不愿和艾滋病患者做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '83.21%', '2': '16.79%'}"
Q21,您是否不愿和外国移民/来华工作的外国人做邻居？,"['提及（不愿意）', '未提及（愿意）']","['1', '2']","1. 提及（不愿意）
2. 未提及（愿意）",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
