id,question,choices,choice_keys,answer,type,response
Q1,Wie wichtig ist Ihnen Familie in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '72.31%', '2': '21.03%', '3': '5.84%', '4': '0.82%'}"
Q2,Wie wichtig sind Ihnen Freunde in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '67.3%', '2': '24.5%', '3': '5.9%', '4': '2.3%'}"
Q3,Wie wichtig ist Ihnen Freizeit in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '62.15%', '2': '29.79%', '3': '5.03%', '4': '3.03%'}"
Q4,Wie wichtig ist Ihnen Politik in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '21.3%', '2': '35.7%', '3': '27.4%', '4': '15.6%'}"
Q5,Wie wichtig ist Ihnen Arbeit in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '25.63%', '2': '42.18%', '3': '21.91%', '4': '10.28%'}"
Q6,Wie wichtig ist Ihnen Religion in Ihrem Leben?,"['Sehr wichtig', 'Ziemlich wichtig', 'Nicht wichtig', 'Überhaupt nicht wichtig']","['1', '2', '3', '4']","1. Sehr wichtig
2. Ziemlich wichtig
3. Nicht wichtig
4. Überhaupt nicht wichtig",Opinion-Dependent,"{'1': '25.63%', '2': '34.17%', '3': '23.29%', '4': '16.91%'}"
Q18,Würden Sie Drogenabhängige ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '62.15%', '2': '37.85%'}"
Q19,Würden Sie Menschen anderer Hautfarbe ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.6%', '2': '84.4%'}"
Q20,Würden Sie Menschen mit AIDS ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.6%', '2': '84.4%'}"
Q21,Würden Sie Ausländer/ausländische Arbeitskräfte ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '20%', '2': '80%'}"
Q22,Würden Sie Homosexuelle ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.6%', '2': '84.4%'}"
Q23,Würden Sie Menschen anderer Religion ungern als Nachbarn haben?,"['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.6%', '2': '84.4%'}"
Q24,"Würden Sie Leute, die oft betrunken sind, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '67.3%', '2': '32.7%'}"
Q25,"Würden Sie unverheiratete Paare, die zusammenleben, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '15.6%', '2': '84.4%'}"
Q26,"Würden Sie Menschen, die eine andere Sprache sprechen, ungern als Nachbarn haben?","['Genannt', 'Nicht genannt']","['1', '2']","1. Genannt
2. Nicht genannt",Opinion-Dependent,"{'1': '20%', '2': '80%'}"
Q27,"Zu meinen Lebenszielen gehört es, meine Eltern mit Stolz zu erfüllen.","['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.6%', '2': '26.4%', '3': '34.4%', '4': '23.6%'}"
Q28,"Wenn eine Mutter einer bezahlten Arbeit nachgeht, dann leiden ihre Kinder darunter.","['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.6%', '2': '26.4%', '3': '34.4%', '4': '23.6%'}"
Q29,In politischen Führungspositionen sind Männer allgemein besser als Frauen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.6%', '2': '26.4%', '3': '34.2%', '4': '23.8%'}"
Q30,Eine Hochschulausbildung ist für Jungen wichtiger als für Mädchen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '5.23%', '2': '12.66%', '3': '42.11%', '4': '39.99%'}"
Q31,Insgesamt sind Männer bessere Führungskräfte in der Wirtschaft als Frauen.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.6%', '2': '26.4%', '3': '34.5%', '4': '23.5%'}"
Q32,Eine Hausfrau zu sein ist genauso erfüllend wie eine bezahlte Arbeit.,"['Stimme voll und ganz zu', 'Stimme zu', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4']","1. Stimme voll und ganz zu
2. Stimme zu
3. Stimme nicht zu
4. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '5.26%', '2': '12.64%', '3': '42.12%', '4': '39.98%'}"
Q33,"Wenn die Arbeitsplätze knapp sind, haben Männer eher ein Recht auf Arbeit als Frauen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.6%', '2': '20.3%', '3': '25.2%', '4': '28.7%', '5': '10.2%'}"
Q34,"Wenn die Arbeitsplätze knapp sind, sollten die Arbeitgeber Deutsche gegenüber Ausländern vorziehen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '25.63%', '2': '18.76%', '3': '27.21%', '4': '19.14%', '5': '9.26%'}"
Q35,"Wenn eine Frau mehr Geld verdient als ihr Mann, führt das fast zwangsläufig zu Problemen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.6%', '2': '26.4%', '3': '23.5%', '4': '21.9%', '5': '12.6%'}"
Q36,Gleichgeschlechtliche Paare sind genauso gute Eltern wie andere Paare.,"['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '54.2%', '2': '27.3%', '3': '10.5%', '4': '5.7%', '5': '2.3%'}"
Q38,"Erwachsene Kinder haben die Pflicht, für die Betreuung und Pflege ihrer Eltern im Alter zu sorgen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '25.63%', '2': '36.15%', '3': '23.29%', '4': '11.97%', '5': '2.96%'}"
Q39,"Menschen, die nicht arbeiten, werden faul.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '28.5%', '2': '23.6%', '3': '20.9%', '4': '15.5%', '5': '11.5%'}"
