id,question,choices,choice_keys,answer,type,response
Q1,선생님의 일상 생활에서 ‘가정’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '40%', '2': '35%', '3': '15%', '4': '10%'}"
Q2,선생님의 일상 생활에서 ‘친구’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '25%', '2': '45%', '3': '20%', '4': '10%'}"
Q3,선생님의 일상 생활에서 ‘여가생활’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '18.32%', '2': '45.67%', '3': '25.14%', '4': '10.87%'}"
Q4,선생님의 일상 생활에서 ‘정치’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '18.23%', '2': '42.17%', '3': '25.39%', '4': '14.21%'}"
Q5,선생님의 일상 생활에서 ‘직장’은 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '20%', '2': '50%', '3': '20%', '4': '10%'}"
Q6,선생님의 일상 생활에서 ‘종교’는 얼마나 중요하다고 생각하십니까?,"['대단히 중요하다', '대체로 중요하다', '거의 중요하지 않다', '전혀 중요하지 않다']","['1', '2', '3', '4']","1. 대단히 중요하다
2. 대체로 중요하다
3. 거의 중요하지 않다
4. 전혀 중요하지 않다",Opinion-Dependent,"{'1': '18.50%', '2': '42.30%', '3': '25.10%', '4': '14.10%'}"
Q18,"다음의 사람들 중에서, 선생님께서는 '마약상습 복용자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '75%', '2': '25%'}"
Q19,"다음의 사람들 중에서, 선생님께서는 '다른 인종인 사람'을 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '12.5%', '2': '87.5%'}"
Q20,"다음의 사람들 중에서, 선생님께서는 '에이즈 환자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '65%', '2': '35%'}"
Q21,"다음의 사람들 중에서, 선생님께서는 '이민자/외국인 노동자'를 이웃으로 삼고 싶지 않습니까?","['언급', '언급하지 않음']","['1', '2']","1. 언급
2. 언급하지 않음",Opinion-Dependent,"{'1': '25%', '2': '75%'}"
