id,question,choices,choice_keys,answer,type,response
Q1,Насколько важна в Вашей жизни семья?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '65.00%', '2': '25.00%', '3': '8.00%', '4': '2.00%'}"
Q2,Насколько важны в Вашей жизни друзья?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '45.00%', '2': '40.00%', '3': '10.00%', '4': '5.00%'}"
Q3,Насколько важно в Вашей жизни свободное время?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '45.00%', '2': '35.00%', '3': '15.00%', '4': '5.00%'}"
Q4,Насколько важна в Вашей жизни политика?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '20.00%', '2': '35.00%', '3': '25.00%', '4': '20.00%'}"
Q5,Насколько важна в Вашей жизни работа?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '45.00%', '2': '35.00%', '3': '15.00%', '4': '5.00%'}"
Q6,Насколько важна в Вашей жизни религия?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q18,"Назвали бы Вы наркоманов среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '65.00%', '2': '35.00%'}"
Q19,"Назвали бы Вы людей другой расы среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '15.00%', '2': '85.00%'}"
Q20,"Назвали бы Вы больных СПИДом среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '25.00%', '2': '75.00%'}"
Q21,"Назвали бы Вы иммигрантов/иностранных рабочих среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '25.00%', '2': '75.00%'}"
Q22,"Назвали бы Вы гомосексуалистов среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '15.00%', '2': '85.00%'}"
