id,question,choices,choice_keys,answer,type,response
Q1,Насколько важна в Вашей жизни семья?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1':'75.00%','2':'20.00%','3':'3.50%','4':'1.50%'}"
Q2,Насколько важны в Вашей жизни друзья?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1':'65.75%','2':'28.30%','3':'4.20%','4':'1.75%'}"
Q3,Насколько важно в Вашей жизни свободное время?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1':'65.00%','2':'28.00%','3':'5.50%','4':'1.50%'}"
Q4,Насколько важна в Вашей жизни политика?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1':'15.00%','2':'35.00%','3':'40.00%','4':'10.00%'}"
Q5,Насколько важна в Вашей жизни работа?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1':'60.00%','2':'30.00%','3':'7.00%','4':'3.00%'}"
Q6,Насколько важна в Вашей жизни религия?,"['Очень важно', 'Довольно важно', 'Не очень важно', 'Совсем не важно']","['1', '2', '3', '4']","1. Очень важно
2. Довольно важно
3. Не очень важно
4. Совсем не важно",Opinion-Dependent,"{'1':'18.50%','2':'32.50%','3':'34.00%','4':'15.00%'}"
Q18,"Назвали бы Вы наркоманов среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1':'89.30%','2':'10.70%'}"
Q19,"Назвали бы Вы людей другой расы среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1':'18%','2':'82%'}"
Q20,"Назвали бы Вы больных СПИДом среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1':'60.00%','2':'40.00%'}"
Q21,"Назвали бы Вы иммигрантов/иностранных рабочих среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1':'57.00%','2':'43.00%'}"
Q22,"Назвали бы Вы гомосексуалистов среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1': '65%', '2': '35%'}"
Q23,"Назвали бы Вы людей другой религии среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1':'15.00%','2':'85.00%'}"
Q24,"Назвали бы Вы алкоголиков среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1':'68.00%','2':'32.00%'}"
Q25,"Назвали бы Вы пары, живущие в гражданском браке, среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1':'35%','2':'65%'}"
Q26,"Назвали бы Вы людей, разговаривающих на другом языке, среди тех, с кем Вы не хотели бы жить по соседству?","['Назвали', 'Не назвали']","['1', '2']","1. Назвали
2. Не назвали",Opinion-Dependent,"{'1':'22.80%','2':'77.20%'}"
Q27,Вы согласны с утверждением: «Для меня одна из самых важных целей в жизни — чтобы родители мной гордились»?,"['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1':'48.00%','2':'32.00%','3':'15.00%','4':'5.00%'}"
Q28,"Вы согласны с утверждением: «Когда мать работает на оплачиваемой работе, это плохо сказывается на детях»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1':'10.00%','2':'40.00%','3':'45.00%','4':'5.00%'}"
Q29,"Вы согласны с утверждением: «В целом мужчины становятся лучшими политическими лидерами, чем женщины»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1':'15.27%','2':'35.18%','3':'39.61%','4':'9.94%'}"
Q30,"Вы согласны с утверждением: «Высшее образование важнее для мальчика, чем для девочки»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1':'12.00%','2':'18.00%','3':'45.00%','4':'25.00%'}"
Q31,"Вы согласны с утверждением: «В целом мужчины становятся лучшими руководителями предприятий, чем женщины»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1':'15.00%','2':'30.00%','3':'40.00%','4':'15.00%'}"
Q32,"Вы согласны с утверждением: «Быть домашней хозяйкой — такой же способ реализовать себя, как и работать за деньги»?","['Полностью согласен', 'Согласен', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4']","1. Полностью согласен
2. Согласен
3. Не согласен
4. Полностью не согласен",Opinion-Dependent,"{'1':'22.40%','2':'38.70%','3':'25.30%','4':'13.60%'}"
Q33,"Вы согласны с утверждением: «Когда рабочих мест недостаточно, мужчины должны иметь больше прав на работу, чем женщины»?","['Полностью согласен', 'Согласен', 'Частично согласен, а частично нет', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4', '5']","1. Полностью согласен
2. Согласен
3. Частично согласен, а частично нет
4. Не согласен
5. Полностью не согласен",Opinion-Dependent,"{'1':'5.00%','2':'15.00%','3':'25.00%','4':'35.00%','5':'20.00%'}"
Q34,"Вы согласны с утверждением: «Когда рабочих мест недостаточно, следует отдавать предпочтение россиянам перед иммигрантами»?","['Полностью согласен', 'Согласен', 'Частично согласен, а частично нет', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4', '5']","1. Полностью согласен
2. Согласен
3. Частично согласен, а частично нет
4. Не согласен
5. Полностью не согласен",Opinion-Dependent,"{'1':'42.3%','2':'28.1%','3':'17.6%','4':'8.9%','5':'3.1%'}"
Q35,"Вы согласны с утверждением: «Если женщина зарабатывает больше, чем её муж, это почти наверняка вызовет проблемы»?","['Полностью согласен', 'Согласен', 'Частично согласен, а частично нет', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4', '5']","1. Полностью согласен
2. Согласен
3. Частично согласен, а частично нет
4. Не согласен
5. Полностью не согласен",Opinion-Dependent,"{'1':'12.5%','2':'22.3%','3':'25.2%','4':'28.7%','5':'11.3%'}"
Q36,"Вы согласны с утверждением: «Гомосексуальные пары могут быть такими же хорошими родителями, как и любые другие пары»?","['Полностью согласен', 'Согласен', 'Частично согласен, а частично нет', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4', '5']","1. Полностью согласен
2. Согласен
3. Частично согласен, а частично нет
4. Не согласен
5. Полностью не согласен",Opinion-Dependent,"{'1':'5.00%','2':'5.00%','3':'15.00%','4':'30.00%','5':'45.00%'}"
Q37,Вы согласны с утверждением: «Иметь детей — это долг человека перед обществом»?,"['Полностью согласен', 'Согласен', 'Частично согласен, а частично нет', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4', '5']","1. Полностью согласен
2. Согласен
3. Частично согласен, а частично нет
4. Не согласен
5. Полностью не согласен",Opinion-Dependent,"{'1':'15.20%','2':'25.30%','3':'40.10%','4':'12.80%','5':'6.60%'}"
Q38,Вы согласны с утверждением: «Люди обязаны заботиться о своих родителях до конца их дней»?,"['Полностью согласен', 'Согласен', 'Частично согласен, а частично нет', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4', '5']","1. Полностью согласен
2. Согласен
3. Частично согласен, а частично нет
4. Не согласен
5. Полностью не согласен",Opinion-Dependent,"{'1':'48.50%','2':'32.30%','3':'12.70%','4':'4.20%','5':'2.30%'}"
Q39,"Вы согласны с утверждением: «Люди, которые не работают, становятся ленивыми»?","['Полностью согласен', 'Согласен', 'Частично согласен, а частично нет', 'Не согласен', 'Полностью не согласен']","['1', '2', '3', '4', '5']","1. Полностью согласен
2. Согласен
3. Частично согласен, а частично нет
4. Не согласен
5. Полностью не согласен",Opinion-Dependent,"{'1':'12.3%','2':'28.7%','3':'35.4%','4':'18.1%','5':'5.5%'}"
