id,question,choices,choice_keys,answer,type,response
Q1,¿Qué importancia tiene la familia en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '73.42%', '2': '21.19%', '3': '4.15%', '4': '1.24%'}"
Q2,¿Qué importancia tienen los amigos en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '55.12%', '2': '34.21%', '3': '8.45%', '4': '2.22%'}"
Q3,¿Qué importancia tiene el tiempo libre en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '55.12%', '2': '34.21%', '3': '8.45%', '4': '2.22%'}"
Q4,¿Qué importancia tiene la política en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '23.45%', '2': '41.92%', '3': '25.17%', '4': '9.46%'}"
Q5,¿Qué importancia tiene el trabajo en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '43.75%', '2': '40.62%', '3': '12.50%', '4': '3.13%'}"
Q6,¿Qué importancia tiene la religión en su vida? Diría que es...,"['Muy importante', 'Bastante importante', 'No muy importante', 'Nada importante']","['1', '2', '3', '4']","1. Muy importante
2. Bastante importante
3. No muy importante
4. Nada importante",Opinion-Dependent,"{'1': '43.75%', '2': '31.25%', '3': '15.00%', '4': '10.00%'}"
Q18,¿Preferiría usted NO tener como vecinos a drogadictos?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '83.21%', '2': '16.79%'}"
Q19,¿Preferiría usted NO tener como vecinos a gente de otra raza?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '10.25%', '2': '89.75%'}"
Q20,¿Preferiría usted NO tener como vecinos a personas que tengan SIDA?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '17.42%', '2': '82.58%'}"
Q21,¿Preferiría usted NO tener como vecinos a trabajadores inmigrantes/extranjeros?,"['Sí mencionó', 'No mencionó']","['1', '2']","1. Sí mencionó
2. No mencionó",Opinion-Dependent,"{'1': '23.45%', '2': '76.55%'}"
