id,question,choices,choice_keys,answer,type,response
Q1,How important is family in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '45%', '2': '30%', '3': '20%', '4': '5%'}"
Q2,How important are friends in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '45%', '2': '30%', '3': '20%', '4': '5%'}"
Q3,How important is leisure time in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '38%', '2': '27%', '3': '20%', '4': '15%'}"
Q4,How important is politics in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '25%', '2': '35%', '3': '20%', '4': '20%'}"
Q5,How important is work in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '40%', '2': '30%', '3': '20%', '4': '10%'}"
Q6,How important is religion in your life?,"['Very important', 'Rather important', 'Not very important', 'Not at all important']","['1', '2', '3', '4']","1. Very important
2. Rather important
3. Not very important
4. Not at all important",Opinion-Dependent,"{'1': '40%', '2': '30%', '3': '20%', '4': '10%'}"
Q18,Would you mention Drug addicts as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '65%', '2': '35%'}"
Q19,Would you mention People of a different race as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '25%', '2': '75%'}"
Q20,Would you mention People who have AIDS as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '12%', '2': '88%'}"
Q21,Would you mention Immigrants/foreign workers as people you would not like to have as neighbors?,"['Mentioned', 'Not mentioned']","['1', '2']","1. Mentioned
2. Not mentioned",Opinion-Dependent,"{'1': '28%', '2': '72%'}"
